,Draft_Yr,Pk,Tm,PLAYER,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per_48,BPM,VORP,2009_POS,2009_TEAM,2009_GP,2009_MPG,2009_PTS,2009_FGM-FGA,2009_FG%,2009_3PM-3PA,2009_3P%,2009_FTM-FTA,2009_FT%,2010_POS,2010_TEAM,2010_GP,2010_MPG,2010_PTS,2010_FGM-FGA,2010_FG%,2010_3PM-3PA,2010_3P%,2010_FTM-FTA,2010_FT%,2011_POS,2011_TEAM,2011_GP,2011_MPG,2011_PTS,2011_FGM-FGA,2011_FG%,2011_3PM-3PA,2011_3P%,2011_FTM-FTA,2011_FT%,2012_POS,2012_TEAM,2012_GP,2012_MPG,2012_PTS,2012_FGM-FGA,2012_FG%,2012_3PM-3PA,2012_3P%,2012_FTM-FTA,2012_FT%,2013_POS,2013_TEAM,2013_GP,2013_MPG,2013_PTS,2013_FGM-FGA,2013_FG%,2013_3PM-3PA,2013_3P%,2013_FTM-FTA,2013_FT%,2014_POS,2014_TEAM,2014_GP,2014_MPG,2014_PTS,2014_FGM-FGA,2014_FG%,2014_3PM-3PA,2014_3P%,2014_FTM-FTA,2014_FT%,2015_POS,2015_TEAM,2015_GP,2015_MPG,2015_PTS,2015_FGM-FGA,2015_FG%,2015_3PM-3PA,2015_3P%,2015_FTM-FTA,2015_FT%,2016_POS,2016_TEAM,2016_GP,2016_MPG,2016_PTS,2016_FGM-FGA,2016_FG%,2016_3PM-3PA,2016_3P%,2016_FTM-FTA,2016_FT%
0,2009,1.0,LAC,Blake Griffin,University of Oklahoma,7,417,14715,8936,3995,1681,0.52,0.267,0.662,35.3,21.4,9.6,4.0,55.8,0.182,4.1,22.7,,,,,,,,,,,,,,,,,,,,,,,PF,LAC,82,38.0,22.5,8.5-16.8,.506,0.1-0.3,.292,5.4-8.5,.642,PF,LAC,66,36.2,20.7,8.5-15.5,.549,0.0-0.2,.125,3.7-7.1,.521,PF,LAC,80,32.5,18.0,7.2-13.4,.538,0.1-0.4,.179,3.5-5.3,.660,PF,LAC,80,35.8,24.1,9.0-17.0,.528,0.2-0.6,.273,6.0-8.4,.715,PF,LAC,67,35.2,21.9,8.6-17.1,.502,0.1-0.4,.400,4.6-6.4,.728,PF,LAC,7,32.0,19.3,7.1-15.3,.467,0.3-1.4,.200,4.7-6.4,.733
1,2009,2.0,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,0.567,0.0,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-1.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2009,3.0,OKC,James Harden,Arizona State University,8,541,18001,11483,2484,2709,0.444,0.369,0.855,33.3,21.2,4.6,5.0,78.2,0.209,5.4,33.7,,,,,,,,,,,,SG,OKC,76,22.9,9.9,3.1-7.6,.403,1.2-3.3,.375,2.6-3.2,.808,SG,OKC,82,26.7,12.2,3.6-8.3,.436,1.4-4.0,.349,3.5-4.2,.843,SG,OKC,62,31.4,16.8,5.0-10.1,.491,1.8-4.7,.390,5.0-6.0,.846,SG,HOU,78,38.3,25.9,7.5-17.1,.438,2.3-6.2,.368,8.6-10.2,.851,SG,HOU,73,38.0,25.4,7.5-16.5,.456,2.4-6.6,.366,7.9-9.1,.866,SG,HOU,81,36.8,27.4,8.0-18.1,.440,2.6-6.9,.375,8.8-10.2,.868,SG,HOU,7,37.1,31.6,9.6-19.1,.500,3.6-8.7,.410,8.9-10.4,.849
3,2009,4.0,SAC,Tyreke Evans,University of Memphis,7,433,14445,7220,2117,2293,0.446,0.288,0.757,33.4,16.7,4.9,5.3,23.1,0.077,0.9,10.7,,,,,,,,,,,,SG,SAC,72,37.2,20.1,7.4-16.2,.458,0.5-2.0,.255,4.8-6.5,.748,,,,,,,,,,,,SG,SAC,63,34.3,16.5,6.5-14.3,.453,0.3-1.6,.202,3.2-4.1,.779,,,,,,,,,,,,SG,NO,72,28.2,14.5,5.4-12.5,.436,0.3-1.3,.221,3.3-4.3,.771,SG,NO,79,34.1,16.6,6.6-14.7,.447,0.9-2.9,.304,2.6-3.7,.694,,,,,,,,,,,
4,2009,5.0,MIN,Ricky Rubio,,6,280,8810,2826,1198,2322,0.368,0.317,0.813,31.5,10.1,4.3,8.3,17.2,0.094,1.4,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,MIN,82,32.2,9.5,3.1-8.2,.381,0.5-1.6,.331,2.8-3.5,.802,,,,,,,,,,,,,,,,,,,,,,
5,2009,6.0,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.9,-2.7,,,,,,,,,,,,PG,MIN,81,28.9,13.5,4.9-11.8,.417,1.0-2.7,.358,2.8-3.3,.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2009,7.0,GSW,Stephen Curry,Davidson College,8,502,17488,11274,2172,3434,0.477,0.444,0.901,34.8,22.5,4.3,6.8,72.5,0.199,6.2,36.0,,,,,,,,,,,,PG,GS,80,36.2,17.5,6.6-14.3,.462,2.1-4.8,.437,2.2-2.5,.885,PG,GS,74,33.6,18.6,6.8-14.2,.480,2.0-4.6,.442,2.9-3.1,.934,,,,,,,,,,,,PG,GS,78,38.2,22.9,8.0-17.8,.451,3.5-7.7,.453,3.4-3.7,.900,PG,GS,78,36.5,24.0,8.4-17.7,.471,3.3-7.9,.424,3.9-4.5,.885,PG,GS,80,32.7,23.8,8.2-16.8,.487,3.6-8.1,.443,3.9-4.2,.914,PG,GS,7,32.7,26.4,9.0-18.9,.477,4.6-10.1,.451,3.9-4.6,.844
7,2009,8.0,NYK,Jordan Hill,University of Arizona,8,404,7656,3226,2381,322,0.497,0.136,0.699,19.0,8.0,5.9,0.8,16.5,0.103,-1.9,0.1,,,,,,,,,,,,,,,,,,,,,,,PF,HOU,72,15.6,5.6,2.4-4.9,.491,0.0-0.0,.000,0.8-1.2,.706,,,,,,,,,,,,,,,,,,,,,,,PF,LAL,72,20.8,9.7,4.0-7.2,.549,0.0-0.0,.000,1.7-2.5,.685,PF,LAL,70,26.8,12.0,5.1-11.1,.459,0.0-0.2,.273,1.8-2.4,.738,,,,,,,,,,,
8,2009,9.0,TOR,DeMar DeRozan,University of Southern California,8,527,17878,9638,2067,1387,0.444,0.282,0.825,33.9,18.3,3.9,2.6,36.6,0.098,-1.1,3.9,,,,,,,,,,,,SG,TOR,77,21.6,8.6,3.3-6.6,.498,0.1-0.2,.250,1.9-2.5,.763,SG,TOR,82,34.8,17.2,6.6-14.1,.467,0.1-0.6,.096,4.0-4.9,.813,SG,TOR,63,35.0,16.7,6.0-14.3,.422,0.4-1.5,.261,4.3-5.3,.810,SG,TOR,82,36.7,18.1,6.7-15.0,.445,0.4-1.5,.283,4.3-5.2,.831,SG,TOR,79,38.2,22.7,7.6-17.8,.429,0.8-2.7,.305,6.6-8.0,.824,SG,TOR,60,35.0,20.1,6.8-16.5,.413,0.4-1.5,.284,6.0-7.2,.832,SG,TOR,6,37.2,33.7,12.8-24.5,.524,0.3-1.7,.200,7.7-9.2,.836
9,2009,10.0,MIL,Brandon Jennings,,8,466,14955,7199,1448,2735,0.39,0.349,0.798,32.1,15.4,3.1,5.9,28.3,0.091,0.9,11.0,,,,,,,,,,,,PG,MIL,82,32.6,15.5,5.5-14.8,.371,1.8-4.7,.374,2.7-3.3,.817,,,,,,,,,,,,PG,MIL,66,35.3,19.1,7.1-17.0,.418,2.0-5.9,.332,2.9-3.6,.808,PG,MIL,80,36.2,17.5,6.2-15.6,.399,2.2-5.8,.375,2.9-3.5,.819,PG,DET,80,34.1,15.5,5.3-14.2,.373,1.9-5.7,.337,3.0-4.0,.751,,,,,,,,,,,,PG,NY,6,19.7,8.0,2.5-6.2,.405,1.0-3.2,.316,2.0-2.8,.706
10,2009,11.0,NJN,Terrence Williams,University of Louisville,4,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-3.8,-1.4,,,,,,,,,,,,SG,NJ,78,22.6,8.4,3.3-8.3,.401,0.4-1.3,.310,1.3-1.8,.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2009,12.0,CHA,Gerald Henderson,Duke University,8,469,12334,5381,1546,903,0.442,0.321,0.791,26.3,11.5,3.3,1.9,16.3,0.063,-2.1,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,CHA,77,32.0,14.0,5.2-12.1,.433,0.5-1.5,.348,3.1-4.0,.761,SG,CHA,80,28.9,12.1,4.6-10.6,.437,0.6-1.7,.331,2.3-2.7,.848,SG,PHI,6,24.5,9.3,3.8-8.2,.469,0.8-2.0,.417,0.8-1.2,.714
12,2009,13.0,IND,Tyler Hansbrough,University of North Carolina,7,428,7233,2881,1808,181,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2.5,-1.0,,,,,,,,,,,,,,,,,,,,,,,PF,IND,70,21.9,11.0,4.1-8.8,.465,0.0-0.0,.000,2.8-3.6,.779,PF,IND,66,21.8,9.3,2.9-7.3,.405,0.0-0.0,.000,3.4-4.2,.813,PF,IND,81,16.9,7.0,2.2-5.0,.432,0.0-0.0,.000,2.7-3.7,.720,PF,TOR,64,15.3,4.9,1.5-3.1,.474,0.0-0.0,.000,2.0-2.9,.681,PF,TOR,74,14.3,3.6,1.2-2.2,.521,0.0-0.1,.143,1.3-1.9,.698,,,,,,,,,,,
13,2009,14.0,PHO,Earl Clark,University of Louisville,6,261,3630,1138,778,134,0.403,0.328,0.664,13.9,4.4,3.0,0.5,2.9,0.038,-3.6,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2009,15.0,DET,Austin Daye,Gonzaga University,6,293,4132,1522,764,212,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5,0.053,-2.6,-0.6,,,,,,,,,,,,,,,,,,,,,,,SF,DET,72,20.1,7.5,2.7-6.5,.410,1.0-2.4,.401,1.1-1.5,.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2009,16.0,CHI,James Johnson,Wake Forest University,8,404,7395,2638,1282,602,0.474,0.266,0.694,18.3,6.5,3.2,1.5,12.1,0.078,0.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,TOR,62,25.2,9.1,3.8-8.4,.450,0.3-1.0,.317,1.3-1.9,.704,,,,,,,,,,,,,,,,,,,,,,,PF,TOR,70,19.6,7.9,3.4-5.8,.589,0.2-0.7,.216,1.0-1.5,.657,PF,MIA,6,20.8,7.3,2.3-6.8,.341,0.7-2.5,.267,2.0-2.0,1.000
