,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK
0,"Dominic Artis, G",UTEP,1,28.0,13,13.0,5,5.0,18.6,2.60,1
1,"Kahron Ross, G",LEH,1,37.0,12,12.0,3,3.0,13.0,4.00,2
2,"Kyron Cartwright, G",PROV,1,32.0,12,12.0,2,2.0,15.0,6.00,3
3,"Isaiah Nichols, G",SJSU,1,25.0,10,10.0,2,2.0,16.0,5.00,4
4,"Maurice Watson Jr., G",CREI,2,35.0,19,9.5,12,6.0,10.9,1.58,5
5,"Alec Wintering, G",PORT,2,37.5,19,9.5,8,4.0,10.1,2.38,6
6,"Emmett Naar, G",SMC,2,32.0,19,9.5,2,1.0,11.9,9.50,7
7,"Wes VanBeck, G",HOU,1,21.0,9,9.0,1,1.0,17.1,9.00,8
8,"Manu Lecomte, G",BAY,2,35.0,17,8.5,3,1.5,9.7,5.67,9
9,"Joseph Chartouny, G",FOR,2,31.5,17,8.5,5,2.5,10.8,3.40,10
10,"Donte Thomas, G",ARST,2,27.5,17,8.5,5,2.5,12.4,3.40,11
11,"C.J. Jackson, G",OSU,2,25.0,17,8.5,5,2.5,13.6,3.40,12
12,"Lonzo Ball, G",UCLA,2,36.0,17,8.5,6,3.0,9.4,2.83,13
13,"Luke Eddy, G",ELON,2,27.5,16,8.0,7,3.5,11.6,2.29,14
14,"Bryant Crawford, G",WAKE,2,29.0,16,8.0,4,2.0,11.0,4.00,15
15,"Kasheem Thomas, G",CLEV,2,35.0,16,8.0,4,2.0,9.1,4.00,16
16,"Jaylen Adams, G",SBON,1,32.0,8,8.0,3,3.0,10.0,2.67,17
17,"John Gillon, G",SYR,2,19.5,15,7.5,1,0.5,15.4,15.00,18
18,"Jerome Segura, G",FAIR,2,30.5,15,7.5,4,2.0,9.8,3.75,19
19,"Daniel Fowler, G",FUR,2,34.0,15,7.5,3,1.5,8.8,5.00,20
20,"Ethan Telfair, G",IDST,2,39.0,15,7.5,10,5.0,7.7,1.50,21
21,"Jaylen Fisher, G",TCU,2,27.0,15,7.5,4,2.0,11.1,3.75,22
22,"De'Aaron Fox, G",UK,3,30.7,21,7.0,8,2.7,9.1,2.63,23
23,"Jaaron Simmons, G",OHIO,2,28.0,14,7.0,10,5.0,10.0,1.40,24
24,"Monte Morris, G",ISU,2,28.5,14,7.0,2,1.0,9.8,7.00,25
25,"T.J. Williams, G",NE,2,38.0,14,7.0,6,3.0,7.4,2.33,26
26,"Frank Mason III, G",KU,2,37.5,14,7.0,4,2.0,7.5,3.50,27
27,"Jeremiah Martin, G",MEM,2,34.0,14,7.0,3,1.5,8.2,4.67,28
28,"I.J. Ready, G",MSST,1,31.0,7,7.0,0,0.0,9.0,0.00,29
29,"Phil Winston, G",QUIN,1,20.0,7,7.0,2,2.0,14.0,3.50,30
30,"Trae Bell-Haynes, G",UVM,3,30.3,20,6.7,12,4.0,8.8,1.67,31
31,"Erick Neal, G",UTA,3,31.3,20,6.7,8,2.7,8.5,2.50,32
32,"Madison Jones, G",HALL,2,26.5,13,6.5,3,1.5,9.8,4.33,33
33,"Denzel Ingram, G",UNCW,2,28.0,13,6.5,3,1.5,9.3,4.33,34
34,"Stevie Clark, G",OAK,2,29.0,13,6.5,3,1.5,9.0,4.33,35
35,"Jordan Strawberry, G",MER,2,22.5,13,6.5,5,2.5,11.6,2.60,36
36,"B.J. Tyson, G",ECU,2,34.5,13,6.5,6,3.0,7.5,2.17,37
37,"Everett Clemons, G",INST,2,37.5,13,6.5,3,1.5,6.9,4.33,38
38,"Jaylen Shead, G",CP,2,29.0,13,6.5,4,2.0,9.0,3.25,39
39,"Dejon Jarreau, G",UMASS,2,24.0,13,6.5,5,2.5,10.8,2.60,40
40,"Shaq Carr, G",GCU,2,37.0,13,6.5,13,6.5,7.0,1.00,41
41,"Jalin Hart, G",IW,2,27.0,13,6.5,1,0.5,9.6,13.00,42
42,"Jawun Evans, G",OKST,3,25.3,19,6.3,6,2.0,10.0,3.17,43
43,"Tra-Deon Hollins, G",OMA,3,29.0,19,6.3,12,4.0,8.7,1.58,44
44,"Preston Parks, G",CIT,3,23.0,18,6.0,13,4.3,10.4,1.38,45
45,"T.J. Cline, F",RICH,2,29.0,12,6.0,7,3.5,8.3,1.71,46
46,"Shane Rector, G",USU,2,28.5,12,6.0,3,1.5,8.4,4.00,47
47,"David Cohn, G",W&M;,2,21.0,12,6.0,5,2.5,11.4,2.40,48
48,"Jeremy Major, G",PEPP,2,33.0,12,6.0,1,0.5,7.3,12.00,49
49,"Jonathan Stark, G",MURR,2,35.0,12,6.0,8,4.0,6.9,1.50,50
50,"Jaleen Smith, G",UNH,2,37.5,12,6.0,6,3.0,6.4,2.00,51
51,"Josh Cuthbertson, F",UPST,2,29.0,12,6.0,8,4.0,8.3,1.50,52
52,"Mark Alstork, G",WRST,2,35.5,12,6.0,13,6.5,6.8,0.92,53
53,"Nick Lindner, G",LAF,2,31.0,12,6.0,8,4.0,7.7,1.50,54
54,"Nick Coppola, G",ULM,2,32.0,12,6.0,0,0.0,7.5,0.00,55
55,"Francisco Santiago, G",YSU,2,36.5,12,6.0,2,1.0,6.6,6.00,56
56,"Vince Edwards, F",PUR,2,33.0,12,6.0,6,3.0,7.3,2.00,57
57,"Jacob Van, G",AFA,2,21.5,12,6.0,0,0.0,11.2,0.00,58
58,"Dazon Ingram, G",ALA,2,33.0,12,6.0,3,1.5,7.3,4.00,59
59,"Frank Howard, G",SYR,2,21.0,12,6.0,4,2.0,11.4,3.00,60
60,"Skylar Mays, G",LSU,2,21.5,12,6.0,3,1.5,11.2,4.00,61
61,"Ronnie Rousseau III, G",MOST,2,29.0,12,6.0,1,0.5,8.3,12.00,62
62,"Anthony Dallier, G",YALE,1,37.0,6,6.0,1,1.0,6.5,6.00,63
63,"Austin Luke, G",BEL,1,29.0,6,6.0,0,0.0,8.3,0.00,64
64,"Galen Robinson Jr., G",HOU,1,26.0,6,6.0,1,1.0,9.2,6.00,65
65,"Tre'Darius McCallum, F",DEP,1,25.0,6,6.0,1,1.0,9.6,6.00,66
66,"Markelle Fultz, G",WASH,1,36.0,6,6.0,3,3.0,6.7,2.00,67
67,"Glen Burns, G",CHS,1,17.0,6,6.0,2,2.0,14.1,3.00,68
68,"Austen Awosika, G",CSF,1,22.0,6,6.0,1,1.0,10.9,6.00,69
69,"Deon Barrett, G",UTEP,1,15.0,6,6.0,1,1.0,16.0,6.00,70
70,"Milton Doyle, G",L-IL,3,25.0,17,5.7,6,2.0,9.1,2.83,71
71,"Jaylon Tate, G",ILL,3,23.0,17,5.7,5,1.7,9.9,3.40,72
72,"Nate Mason, G",MINN,3,32.0,17,5.7,10,3.3,7.1,1.70,73
73,"Joe Rahon, G",SMC,2,30.5,11,5.5,1,0.5,7.2,11.00,74
74,"Chris Jones, G",PITT,2,34.0,11,5.5,2,1.0,6.5,5.50,75
75,"J.J. Frazier, G",UGA,2,33.0,11,5.5,7,3.5,6.7,1.57,76
76,"Amadi Udenyi, G",PEPP,2,30.5,11,5.5,2,1.0,7.2,5.50,77
77,"Troy Caupain, G",CIN,2,31.0,11,5.5,4,2.0,7.1,2.75,78
78,"Alex Robinson, G",TCU,2,28.5,11,5.5,5,2.5,7.7,2.20,79
79,"Lindsey Drew, G",NEV,2,31.0,11,5.5,4,2.0,7.1,2.75,80
80,"Lamarr Kimble, G",JOES,2,33.5,11,5.5,4,2.0,6.6,2.75,81
81,"Marcus LoVett, G",SJU,2,29.0,11,5.5,4,2.0,7.6,2.75,82
82,"Corey Sanders, G",RUTG,2,28.0,11,5.5,6,3.0,7.9,1.83,83
83,"Davonta Jordan, G",BUFF,2,25.0,11,5.5,6,3.0,8.8,1.83,84
84,"Kedar Edwards, F",UTM,3,31.0,16,5.3,10,3.3,6.9,1.60,85
85,"Bryant McIntosh, G",NW,3,34.0,16,5.3,8,2.7,6.3,2.00,86
86,"Malcolm Drumwright, G",JVST,3,31.0,16,5.3,12,4.0,6.9,1.33,87
87,"Malik Maitland, G",MORE,3,24.7,16,5.3,5,1.7,8.6,3.20,88
88,"Junior Lomomba, G",WKU,2,30.5,10,5.0,7,3.5,6.6,1.43,89
89,"Chris Reyes, F",PEPP,2,34.5,10,5.0,7,3.5,5.8,1.43,90
90,"Sterling Brown, G",SMU,2,28.5,10,5.0,7,3.5,7.0,1.43,91
91,"Nigel Hayes, F",WIS,2,30.0,10,5.0,3,1.5,6.7,3.33,92
92,"Ike Iroegbu, G",WSU,2,31.5,10,5.0,5,2.5,6.3,2.00,93
93,"Sam Singer, G",CAL,2,35.5,10,5.0,2,1.0,5.6,5.00,94
94,"Scoochie Smith, G",DAY,2,29.5,10,5.0,6,3.0,6.8,1.67,95
95,"Paris Lee, G",ILST,2,31.0,10,5.0,11,5.5,6.5,0.91,96
96,"Marcus Jackson, G",RICE,2,27.0,10,5.0,4,2.0,7.4,2.50,97
97,"Brian Greene Jr., G",CHS,1,20.0,5,5.0,2,2.0,10.0,2.50,98
98,"Geno Thorpe, G",USF,1,35.0,5,5.0,3,3.0,5.7,1.67,99
99,"Isaiah Johnson, C",AKR,1,26.0,5,5.0,2,2.0,7.7,2.50,100
0,"T.J. Ford, G",TEX,30,32.4,255,8.5,116,3.9,10.5,2.20,1
1,"Steve Blake, G",MD,30,32.2,246,8.2,99,3.3,10.2,2.48,2
2,"Sean Kennedy, G",MRST,28,36.1,222,7.9,97,3.5,8.8,2.29,3
3,"Edward Scott, G",CLEM,30,36.8,236,7.9,109,3.6,8.5,2.17,4
4,"Chris Thomas, G",ND,31,38.0,238,7.7,94,3.0,8.1,2.53,5
5,"Brandin Knight, G",PITT,32,36.4,229,7.2,103,3.2,7.9,2.22,6
6,"Matt Montague, G",BYU,28,37.6,200,7.1,73,2.6,7.6,2.74,7
7,"Mychal Covington, G",OAK,28,30.5,198,7.1,86,3.1,9.3,2.30,8
8,"Aaron Miles, G",KU,32,27.0,223,7.0,94,2.9,10.3,2.37,9
9,"Reggie Kohn, G",USF,31,29.5,206,6.6,120,3.9,9.0,1.72,10
10,"Guilherme Da Luz, G",FUR,31,33.9,206,6.6,96,3.1,7.8,2.15,11
11,"Sean Peterson, G",GASO,28,34.4,186,6.6,92,3.3,7.7,2.02,12
12,"Marquis Sykes, G",MORE,29,34.0,189,6.5,92,3.2,7.7,2.05,13
13,"Jameer Nelson, G",JOES,28,35.5,179,6.4,85,3.0,7.2,2.11,14
14,"Luke Walton, F",ARIZ,28,36.8,177,6.3,106,3.8,6.9,1.67,15
15,"Delvon Arrington, G",FSU,29,33.6,182,6.3,110,3.8,7.5,1.65,16
16,"John Salmons, F",MIA,31,33.8,191,6.2,114,3.7,7.3,1.68,17
17,"Chris Duhon, G",DUKE,32,35.1,197,6.2,86,2.7,7.0,2.29,18
18,"Derrick Zimmerman, G",MSST,33,32.7,203,6.2,112,3.4,7.5,1.81,19
19,"Courtney Eldridge, G",UNCG,29,31.8,177,6.1,105,3.6,7.7,1.69,20
20,"Brandon Pardon, G",BGSU,32,34.9,195,6.1,89,2.8,7.0,2.19,21
21,"Marques Green, G",SBON,29,38.0,175,6.0,73,2.5,6.4,2.40,22
22,"Ashley Robinson, G",MVSU,29,38.9,173,6.0,70,2.4,6.1,2.47,23
23,"Victor Tarver, G",SOU,26,34.1,154,5.9,110,4.2,6.9,1.40,24
24,"David Morris, G",DAY,30,27.5,176,5.9,62,2.1,8.5,2.84,25
25,"Corey Santee, G",TCU,31,31.1,180,5.8,99,3.2,7.5,1.82,26
26,"Kevin Braswell, G",GTWN,30,33.6,173,5.8,90,3.0,6.9,1.92,27
27,"Brandon Granville, G",USC,31,31.5,178,5.7,71,2.3,7.3,2.51,28
28,"Andrew Wisniewski, G",CENT,27,33.8,155,5.7,106,3.9,6.8,1.46,29
29,"Desmond Cambridge, G",AAMU,29,29.5,166,5.7,119,4.1,7.8,1.39,30
30,"Tony Akins, G",GT,31,34.3,176,5.7,102,3.3,6.6,1.73,31
31,"Adam Quick, G",PORT,30,33.6,170,5.7,106,3.5,6.8,1.60,32
32,"Nick Mitchell, G",GRAM,26,29.2,142,5.5,77,3.0,7.5,1.84,33
33,"Eric Bush, G",UAB,30,32.5,163,5.4,105,3.5,6.7,1.55,34
34,"Casey Rogers, G",WCU,28,27.5,151,5.4,86,3.1,7.8,1.76,35
35,"Jason Williams, G",DUKE,32,33.8,172,5.4,122,3.8,6.4,1.41,36
36,"Mark Allaria, G",EVAN,28,34.0,150,5.4,79,2.8,6.3,1.90,37
37,"Rahsaan Johnson, G",MONM,29,36.4,155,5.3,119,4.1,5.9,1.30,38
38,"Jair Peralta, G",UTM,29,29.2,155,5.3,88,3.0,7.3,1.76,39
39,"Larry Reid, G",KSU,28,35.2,149,5.3,99,3.5,6.0,1.51,40
40,"Elliott Prasse-Freeman, G",HARV,26,31.7,138,5.3,123,4.7,6.7,1.12,41
41,"Kirk Hinrich, G",KU,32,32.1,168,5.3,85,2.7,6.5,1.98,42
42,"Eric Schmieder, G",DREX,28,36.9,147,5.3,62,2.2,5.7,2.37,43
43,"Brian Allen, G",TOWS,28,30.4,147,5.3,150,5.4,6.9,0.98,44
44,"Marcus Taylor, G",MSU,28,34.3,147,5.3,91,3.3,6.1,1.62,45
45,"Antawn Dobie, G",LIU,26,34.8,136,5.2,115,4.4,6.0,1.18,46
46,"Brooks Lee, G",CAMP,27,27.5,141,5.2,90,3.3,7.6,1.57,47
