,Draft_Yr,Pk,Tm,PLAYER,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per_48,BPM,VORP,1999_POS,1999_TEAM,1999_GP,1999_MPG,1999_PTS,1999_FGM-FGA,1999_FG%,1999_3PM-3PA,1999_3P%,1999_FTM-FTA,1999_FT%,2000_POS,2000_TEAM,2000_GP,2000_MPG,2000_PTS,2000_FGM-FGA,2000_FG%,2000_3PM-3PA,2000_3P%,2000_FTM-FTA,2000_FT%,2001_POS,2001_TEAM,2001_GP,2001_MPG,2001_PTS,2001_FGM-FGA,2001_FG%,2001_3PM-3PA,2001_3P%,2001_FTM-FTA,2001_FT%,2002_POS,2002_TEAM,2002_GP,2002_MPG,2002_PTS,2002_FGM-FGA,2002_FG%,2002_3PM-3PA,2002_3P%,2002_FTM-FTA,2002_FT%,2003_POS,2003_TEAM,2003_GP,2003_MPG,2003_PTS,2003_FGM-FGA,2003_FG%,2003_3PM-3PA,2003_3P%,2003_FTM-FTA,2003_FT%,2004_POS,2004_TEAM,2004_GP,2004_MPG,2004_PTS,2004_FGM-FGA,2004_FG%,2004_3PM-3PA,2004_3P%,2004_FTM-FTA,2004_FT%,2005_POS,2005_TEAM,2005_GP,2005_MPG,2005_PTS,2005_FGM-FGA,2005_FG%,2005_3PM-3PA,2005_3P%,2005_FTM-FTA,2005_FT%,2006_POS,2006_TEAM,2006_GP,2006_MPG,2006_PTS,2006_FGM-FGA,2006_FG%,2006_3PM-3PA,2006_3P%,2006_FTM-FTA,2006_FT%,2007_POS,2007_TEAM,2007_GP,2007_MPG,2007_PTS,2007_FGM-FGA,2007_FG%,2007_3PM-3PA,2007_3P%,2007_FTM-FTA,2007_FT%,2008_POS,2008_TEAM,2008_GP,2008_MPG,2008_PTS,2008_FGM-FGA,2008_FG%,2008_3PM-3PA,2008_3P%,2008_FTM-FTA,2008_FT%,2009_POS,2009_TEAM,2009_GP,2009_MPG,2009_PTS,2009_FGM-FGA,2009_FG%,2009_3PM-3PA,2009_3P%,2009_FTM-FTA,2009_FT%,2010_POS,2010_TEAM,2010_GP,2010_MPG,2010_PTS,2010_FGM-FGA,2010_FG%,2010_3PM-3PA,2010_3P%,2010_FTM-FTA,2010_FT%,2011_POS,2011_TEAM,2011_GP,2011_MPG,2011_PTS,2011_FGM-FGA,2011_FG%,2011_3PM-3PA,2011_3P%,2011_FTM-FTA,2011_FT%,2012_POS,2012_TEAM,2012_GP,2012_MPG,2012_PTS,2012_FGM-FGA,2012_FG%,2012_3PM-3PA,2012_3P%,2012_FTM-FTA,2012_FT%,2013_POS,2013_TEAM,2013_GP,2013_MPG,2013_PTS,2013_FGM-FGA,2013_FG%,2013_3PM-3PA,2013_3P%,2013_FTM-FTA,2013_FT%,2014_POS,2014_TEAM,2014_GP,2014_MPG,2014_PTS,2014_FGM-FGA,2014_FG%,2014_3PM-3PA,2014_3P%,2014_FTM-FTA,2014_FT%,2015_POS,2015_TEAM,2015_GP,2015_MPG,2015_PTS,2015_FGM-FGA,2015_FG%,2015_3PM-3PA,2015_3P%,2015_FTM-FTA,2015_FT%,2016_POS,2016_TEAM,2016_GP,2016_MPG,2016_PTS,2016_FGM-FGA,2016_FG%,2016_3PM-3PA,2016_3P%,2016_FTM-FTA,2016_FT%
0,1999,1.0,CHI,Elton Brand,Duke University,17,1058,34910,16827,9040,2184,0.5,0.095,0.736,33.0,15.9,8.5,2.1,109.6,0.151,3.1,45.2,,,,,,,,,,,,PF,CHI,81,37.0,20.1,7.8-16.1,.482,0.0-0.0,.000,4.5-6.6,.685,PF,CHI,74,39.3,20.1,7.8-16.4,.476,0.0-0.0,.000,4.5-6.4,.708,PF,LAC,80,37.8,18.2,6.7-12.6,.527,0.0-0.0,.000,4.9-6.6,.742,,,,,,,,,,,,,,,,,,,,,,,PF,LAC,81,37.0,20.0,7.8-15.4,.503,0.0-0.0,.000,4.5-6.0,.752,PF,LAC,79,39.2,24.7,9.6-18.2,.527,0.0-0.0,.333,5.6-7.2,.775,PF,LAC,80,38.5,20.5,8.1-15.1,.533,0.0-0.0,1.000,4.4-5.8,.761,,,,,,,,,,,,,,,,,,,,,,,PF,PHI,76,30.2,13.1,5.4-11.3,.480,0.0-0.0,.000,2.3-3.1,.738,PF,PHI,81,34.7,15.0,6.2-12.1,.512,0.0-0.0,.000,2.6-3.4,.780,PF,PHI,60,28.9,11.0,4.8-9.7,.494,0.0-0.0,.000,1.4-1.9,.733,PF,DAL,72,21.2,7.2,3.1-6.6,.473,0.0-0.0,.000,0.9-1.3,.710,PF,ATL,73,19.4,5.7,2.5-4.5,.539,0.0-0.0,.000,0.8-1.3,.649,,,,,,,,,,,,,,,,,,,,,,
1,1999,2.0,VAN,Steve Francis,University of Maryland,9,576,21632,10446,3215,3473,0.429,0.341,0.797,37.6,18.1,5.6,6.0,54.1,0.12,3.2,28.2,,,,,,,,,,,,PG,HOU,77,36.1,18.0,6.5-14.5,.445,1.4-4.0,.345,3.7-4.7,.786,PG,HOU,80,39.9,19.9,6.9-15.2,.451,1.7-4.2,.396,4.5-5.5,.817,,,,,,,,,,,,PG,HOU,81,41.0,21.0,7.0-16.2,.435,1.0-3.0,.354,5.9-7.3,.800,PG,HOU,79,40.4,16.6,5.7-14.1,.403,0.9-3.2,.292,4.3-5.5,.775,PG,ORL,78,38.2,21.3,7.2-17.1,.423,0.5-1.6,.299,6.4-7.8,.823,PG,NY/ORL,70,34.2,14.4,4.8-10.9,.435,0.4-1.2,.301,4.5-5.7,.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1999,3.0,CHH,Baron Davis,"University of California, Los Angeles",13,835,28592,13447,3183,6025,0.409,0.32,0.711,34.2,16.1,3.8,7.2,63.1,0.106,2.7,34.1,,,,,,,,,,,,PG,CHA,82,18.6,5.9,2.2-5.3,.420,0.3-1.4,.225,1.2-1.9,.634,PG,CHA,82,38.9,13.8,5.0-11.7,.427,1.0-3.3,.310,2.8-4.1,.677,PG,CHA,82,40.5,18.1,6.8-16.4,.417,2.1-5.8,.356,2.4-4.1,.580,,,,,,,,,,,,PG,NO,67,40.1,22.9,8.3-20.9,.395,2.8-8.7,.321,3.5-5.3,.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,GS,82,39.0,21.8,7.9-18.6,.426,2.1-6.4,.330,3.9-5.2,.750,,,,,,,,,,,,PG,LAC,75,33.6,15.3,5.5-13.5,.406,1.1-3.9,.277,3.2-3.9,.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1999,4.0,LAC,Lamar Odom,University of Rhode Island,14,961,32131,12781,8059,3554,0.463,0.312,0.693,33.4,13.3,8.4,3.7,77.0,0.115,2.5,36.3,,,,,,,,,,,,PF,LAC,76,36.4,16.6,5.9-13.5,.438,0.8-2.2,.360,4.0-5.5,.719,PF,LAC,76,37.3,17.2,6.3-13.8,.460,1.1-3.3,.316,3.4-5.1,.679,,,,,,,,,,,,,,,,,,,,,,,PF,MIA,80,37.5,17.1,6.1-14.1,.430,0.8-2.6,.298,4.3-5.7,.742,,,,,,,,,,,,PF,LAL,80,40.3,14.8,5.6-11.6,.481,1.0-2.7,.372,2.7-3.9,.690,,,,,,,,,,,,PF,LAL,77,37.9,14.2,5.4-10.3,.525,0.4-1.5,.274,3.0-4.3,.698,PF,LAL,78,29.7,11.3,4.4-9.0,.492,0.4-1.3,.320,2.1-3.3,.623,PF,LAL,82,31.5,10.8,4.2-9.0,.463,0.7-2.2,.319,1.7-2.5,.693,PF,LAL,82,32.2,14.4,5.8-10.9,.530,0.8-2.2,.382,2.0-3.0,.675,,,,,,,,,,,,PF,LAC,82,19.7,4.0,1.8-4.5,.399,0.2-1.1,.200,0.2-0.5,.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1999,5.0,TOR,Jonathan Bender,,8,262,3847,1453,582,170,0.417,0.34,0.763,14.7,5.5,2.2,0.6,3.8,0.047,-3.5,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,IND,78,21.1,7.4,2.5-5.9,.430,0.6-1.6,.360,1.8-2.3,.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1999,6.0,MIN,Wally Szczerbiak,Miami University,10,651,20052,9195,2602,1532,0.485,0.406,0.86,30.8,14.1,4.0,2.4,53.3,0.127,0.5,12.8,,,,,,,,,,,,SG,MIN,73,29.7,11.6,4.7-9.2,.511,0.4-1.1,.359,1.8-2.2,.826,SG,MIN,82,34.8,14.0,5.7-11.2,.510,0.3-0.9,.338,2.2-2.5,.870,SG,MIN,82,38.0,18.7,7.4-14.6,.508,1.1-2.3,.455,2.8-3.3,.831,,,,,,,,,,,,,,,,,,,,,,,SG,MIN,81,31.6,15.5,5.7-11.3,.506,0.8-2.1,.373,3.2-3.8,.855,SG,BOS/MIN,72,37.9,19.0,6.8-14.1,.487,1.4-3.5,.400,3.9-4.3,.897,,,,,,,,,,,,SG,CLE/SEA,75,23.1,11.5,4.1-9.6,.431,1.2-2.9,.413,2.0-2.3,.851,SG,CLE,74,20.6,7.0,2.4-5.4,.450,0.9-2.3,.411,1.2-1.4,.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1999,7.0,WAS,Richard Hamilton,University of Connecticut,14,921,29559,15708,2852,3125,0.449,0.346,0.852,32.1,17.1,3.1,3.4,62.8,0.102,-0.6,10.5,,,,,,,,,,,,SG,WSH,71,19.3,9.0,3.6-8.5,.420,0.4-1.1,.364,1.5-1.9,.774,SG,WSH,78,32.3,18.1,7.0-16.0,.438,0.5-1.9,.274,3.6-4.1,.868,,,,,,,,,,,,SG,DET,82,32.2,19.7,7.0-15.7,.443,0.4-1.5,.269,5.4-6.4,.833,SG,DET,78,35.5,17.6,6.8-14.9,.455,0.2-0.9,.265,3.8-4.4,.868,SG,DET,76,38.5,18.7,6.7-15.3,.440,0.5-1.6,.305,4.8-5.6,.858,SG,DET,80,35.3,20.1,8.1-16.5,.491,0.7-1.5,.458,3.2-3.8,.845,SG,DET,75,36.8,19.8,7.3-15.6,.468,0.6-1.7,.341,4.6-5.4,.861,SG,DET,72,33.7,17.3,6.9-14.3,.484,0.9-2.0,.440,2.6-3.1,.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1999,8.0,CLE,Andre Miller,University of Utah,17,1304,40268,16278,4795,8524,0.461,0.217,0.807,30.9,12.5,3.7,6.5,100.8,0.12,1.1,31.7,,,,,,,,,,,,PG,CLE,82,25.5,11.1,4.1-9.2,.449,0.1-0.6,.204,2.8-3.6,.774,PG,CLE,82,34.7,15.8,5.5-12.2,.452,0.2-0.8,.266,4.6-5.5,.833,PG,CLE,81,37.3,16.5,5.9-12.9,.454,0.3-1.1,.253,4.5-5.5,.817,PG,LAC,80,36.4,13.6,4.7-11.6,.406,0.3-1.4,.213,3.9-4.9,.795,PG,DEN,82,34.6,14.8,5.2-11.5,.457,0.1-0.8,.185,4.2-5.0,.832,PG,DEN,82,34.8,13.6,5.2-10.9,.477,0.1-0.5,.154,3.1-3.7,.838,PG,DEN,82,35.8,13.7,4.9-10.6,.463,0.1-0.3,.185,3.8-5.2,.738,PG,DEN/PHI,80,37.1,13.4,5.3-11.4,.466,0.1-0.4,.143,2.8-3.5,.784,PG,PHI,82,36.8,17.0,6.9-14.1,.492,0.0-0.4,.088,3.1-4.1,.772,PG,PHI,82,36.3,16.3,6.0-12.7,.473,0.2-0.6,.283,4.1-5.0,.826,PG,POR,82,30.5,14.0,4.9-11.1,.445,0.2-1.0,.200,3.9-4.8,.821,PG,POR,81,32.7,12.7,4.8-10.4,.460,0.0-0.5,.108,3.1-3.6,.853,PG,DEN,66,27.4,9.7,3.7-8.4,.438,0.3-1.3,.217,2.1-2.6,.811,PG,DEN,82,26.2,9.6,3.7-7.7,.479,0.2-0.8,.266,2.0-2.4,.840,PG,DEN/WSH,58,16.9,4.9,1.8-4.0,.459,0.2-0.4,.524,1.0-1.3,.779,PG,SAC/WSH,81,15.5,4.4,1.8-3.6,.500,0.1-0.4,.206,0.7-1.0,.753,,,,,,,,,,,
8,1999,9.0,PHO,Shawn Marion,"University of Nevada, Las Vegas",16,1163,40097,17700,10101,2198,0.484,0.331,0.81,34.5,15.2,8.7,1.9,124.9,0.15,3.2,52.1,,,,,,,,,,,,,,,,,,,,,,,SG,PHX,79,36.2,17.3,7.1-14.7,.480,0.3-1.0,.256,3.0-3.7,.810,SG,PHX,81,38.4,19.1,8.1-17.2,.469,0.6-1.5,.393,2.4-2.8,.845,SG,PHX,81,41.6,21.2,8.2-18.1,.452,1.7-4.5,.387,3.1-3.6,.851,SG,PHX,79,40.7,19.0,7.5-17.0,.440,1.1-3.4,.340,2.9-3.4,.851,SG,PHX,81,38.8,19.4,7.6-15.9,.476,1.4-4.2,.334,2.8-3.4,.833,SG,PHX,81,40.3,21.8,8.8-16.9,.525,1.2-3.6,.331,3.0-3.7,.809,SG,PHX,80,37.6,17.5,7.0-13.4,.524,1.0-3.2,.317,2.5-3.1,.810,,,,,,,,,,,,,,,,,,,,,,,SG,DAL,75,31.8,12.0,5.3-10.4,.508,0.0-0.3,.158,1.4-1.9,.755,SG,DAL,80,28.2,12.5,5.4-10.4,.520,0.1-0.4,.152,1.6-2.1,.768,SG,DAL,63,30.5,10.6,4.6-10.3,.446,0.3-1.1,.294,1.2-1.5,.796,,,,,,,,,,,,SG,DAL,76,31.7,10.4,4.5-9.3,.482,0.8-2.1,.358,0.7-0.9,.785,,,,,,,,,,,,,,,,,,,,,,
9,1999,10.0,ATL,Jason Terry,University of Arizona,18,1290,39946,18423,3126,5263,0.444,0.379,0.846,31.0,14.3,2.4,4.1,99.1,0.119,1.3,33.7,,,,,,,,,,,,SG,ATL,81,23.3,8.1,3.1-7.4,.415,0.6-1.9,.293,1.4-1.7,.807,SG,ATL,82,37.7,19.7,7.3-16.7,.436,1.5-3.8,.395,3.7-4.4,.846,SG,ATL,78,38.0,19.3,6.7-15.6,.430,2.2-5.7,.387,3.6-4.4,.835,SG,ATL,81,38.0,17.2,6.0-14.1,.428,2.0-5.3,.371,3.2-3.6,.887,SG,ATL,81,37.3,16.8,6.2-14.8,.417,1.8-5.2,.347,2.7-3.2,.827,SG,DAL,80,30.0,12.4,4.7-9.3,.501,1.3-3.1,.420,1.8-2.2,.844,SG,DAL,80,35.0,17.1,6.5-13.7,.470,2.1-5.2,.411,2.1-2.6,.800,SG,DAL,81,35.1,16.7,6.3-13.1,.484,2.0-4.6,.438,2.0-2.5,.804,SG,DAL,82,31.5,15.5,5.7-12.3,.467,1.7-4.4,.375,2.3-2.7,.857,SG,DAL,74,33.7,19.6,7.3-15.8,.463,2.3-6.2,.366,2.7-3.0,.880,SG,DAL,77,33.0,16.6,5.9-13.5,.438,1.8-4.8,.365,3.0-3.5,.866,SG,DAL,82,31.3,15.8,6.0-13.3,.451,1.5-4.3,.362,2.2-2.6,.850,SG,DAL,63,31.7,15.1,5.7-13.2,.430,2.2-5.8,.378,1.6-1.8,.883,SG,BOS,79,26.9,10.1,3.6-8.2,.434,1.6-4.2,.372,1.4-1.7,.870,,,,,,,,,,,,SG,HOU,77,21.3,7.0,2.4-5.8,.422,1.6-4.2,.390,0.5-0.6,.813,,,,,,,,,,,
