,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK,YEAR
0,"Maurice Watson Jr., G",CREI,3,30.3,32,10.7,16,5.3,14.1,2.00,1,2017
1,"Dominic Artis, G",UTEP,3,33.7,28,9.3,15,5.0,11.1,1.87,2,2017
2,"Kyron Cartwright, G",PROV,3,33.0,28,9.3,9,3.0,11.3,3.11,3,2017
3,"Emmett Naar, G",SMC,3,33.3,27,9.0,9,3.0,10.8,3.00,4,2017
4,"Wes VanBeck, G",HOU,1,21.0,9,9.0,1,1.0,17.1,9.00,5,2017
5,"Stevie Clark, G",OAK,4,25.0,34,8.5,9,2.3,13.6,3.78,6,2017
6,"Kahron Ross, G",LEH,2,37.0,17,8.5,5,2.5,9.2,3.40,7,2017
7,"Lonzo Ball, G",UCLA,3,36.7,25,8.3,7,2.3,9.1,3.57,8,2017
8,"Alec Wintering, G",PORT,3,31.0,24,8.0,10,3.3,10.3,2.40,9,2017
9,"Jaaron Simmons, G",OHIO,3,31.3,23,7.7,16,5.3,9.8,1.44,10,2017
10,"Austin Luke, G",BEL,2,29.0,15,7.5,6,3.0,10.3,2.50,11,2017
11,"Jeremiah Martin, G",MEM,3,33.7,22,7.3,6,2.0,8.7,3.67,12,2017
12,"Tra-Deon Hollins, G",OMA,4,29.5,28,7.0,15,3.8,9.5,1.87,13,2017
13,"Donte Thomas, G",ARST,4,26.3,28,7.0,11,2.8,10.7,2.55,14,2017
14,"Manu Lecomte, G",BAY,3,35.7,21,7.0,5,1.7,7.9,4.20,15,2017
15,"David Cohn, G",W&M;,3,24.3,21,7.0,5,1.7,11.5,4.20,16,2017
16,"Jerome Segura, G",FAIR,3,35.3,21,7.0,11,3.7,7.9,1.91,17,2017
17,"De'Aaron Fox, G",UK,3,30.7,21,7.0,8,2.7,9.1,2.63,18,2017
18,"Monte Morris, G",ISU,2,28.5,14,7.0,2,1.0,9.8,7.00,19,2017
19,"Phil Winston, G",QUIN,1,20.0,7,7.0,2,2.0,14.0,3.50,20,2017
