,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP40M,BLK/PF,RK,Year
0,"Ben Lammers, C",GT,2,33.0,14,5,7.00,8.48,2.80,1,2001
1,"Moses Kingsley, F",ARK,2,25.0,12,5,6.00,9.60,2.40,2,2001
2,"Tai Odiase, F",UIC,2,21.0,12,7,6.00,11.43,1.71,3,2001
3,"Malik Dime, F",WASH,2,29.5,11,7,5.50,7.46,1.57,4,2001
4,"Jo Lual-Acuil Jr., F",BAY,2,30.5,11,4,5.50,7.21,2.75,5,2001
5,"Hassan Martin, F",URI,3,25.0,15,10,5.00,8.00,1.50,6,2001
6,"Drew Eubanks, F",ORST,3,29.0,14,8,4.67,6.44,1.75,7,2001
7,"Jordan Bell, F",ORE,3,29.3,13,8,4.33,5.91,1.63,8,2001
8,"Amida Brimah, C",CONN,3,27.0,13,11,4.33,6.42,1.18,9,2001
9,"William Lee, F",UAB,3,26.7,13,2,4.33,6.50,6.50,10,2001
10,"Mike Watkins, F",PSU,3,24.7,13,10,4.33,7.03,1.30,11,2001
11,"Hanner Mosquera-Perea, F",ETSU,2,22.5,8,3,4.00,7.11,2.67,12,2001
12,"Thomas Welsh, C",UCLA,3,27.3,11,8,3.67,5.37,1.38,13,2001
13,"Obediah Church, F",MOST,3,20.3,11,4,3.67,7.21,2.75,14,2001
14,"A.J. Jacobson, G",NDSU,2,29.5,7,4,3.50,4.75,1.75,15,2001
15,"Abdul-Malik Abu, F",NCST,2,24.5,7,7,3.50,5.71,1.00,16,2001
16,"Tacko Fall, C",UCF,2,26.0,7,5,3.50,5.38,1.40,17,2001
17,"Andrew Eudy, F",CAMP,2,16.5,7,6,3.50,8.48,1.17,18,2001
18,"Chimezie Metu, F",USC,2,34.0,7,4,3.50,4.12,1.75,19,2001
19,"Jaire Grayer, G",GMU,2,27.0,7,3,3.50,5.19,2.33,20,2001
20,"Robert Williams, F",TAMU,2,20.0,7,1,3.50,7.00,7.00,21,2001
21,"Ronald Delph, C",FAU,3,25.7,10,11,3.33,5.19,0.91,22,2001
22,"James Banks, C",TEX,3,20.3,10,6,3.33,6.56,1.67,23,2001
23,"Jahir Cabeza, G",SAV,3,23.3,10,7,3.33,5.71,1.43,24,2001
24,"Amile Jefferson, F",DUKE,3,26.7,9,8,3.00,4.50,1.13,25,2001
25,"Justin Tuoyo, F",CHAT,3,27.0,9,5,3.00,4.44,1.80,26,2001
26,"Dan Robinson, C",NORF,3,14.0,9,12,3.00,8.57,0.75,27,2001
27,"DaRohn Scott, F",CMU,3,16.0,9,8,3.00,7.50,1.13,28,2001
28,"Kevarrius Hayes, F",FLA,3,14.3,9,6,3.00,8.37,1.50,29,2001
29,"Rodney Williams, F",DREX,2,25.0,6,5,3.00,4.80,1.20,30,2001
30,"Logan McLane, F",M-OH,2,17.0,6,0,3.00,7.06,0.00,31,2001
31,"Tariq Owens, F",SJU,2,15.5,6,6,3.00,7.74,1.00,32,2001
32,"Aric Holman, F",MSST,2,27.0,6,3,3.00,4.44,2.00,33,2001
33,"Matisse Thybulle, F",WASH,2,32.5,6,9,3.00,3.69,0.67,34,2001
34,"Xavier Hill-Mais, F",OAK,2,24.0,6,5,3.00,5.00,1.20,35,2001
35,"Kyle Alexander, F",TENN,2,25.5,6,5,3.00,4.71,1.20,36,2001
36,"Cameron Oliver, F",NEV,2,23.0,6,9,3.00,5.22,0.67,37,2001
37,"Kassoum Yakwe, F",SJU,2,21.5,6,3,3.00,5.58,2.00,38,2001
38,"Chris Lewis, F",HARV,2,20.0,6,4,3.00,6.00,1.50,39,2001
39,"Makur Puou, F",UNO,2,21.5,6,3,3.00,5.58,2.00,40,2001
40,"Chris Reyes, F",PEPP,3,34.0,8,6,2.67,3.14,1.33,41,2001
