,RK,PLAYER,TEAM,GP,PPG,FTM,FTA,total_FTM,total_FTA,FT%
0,1,"Ryan Lawson, G",ETSU,28,9.5,2.4,2.6,68,73,0.932
1,2,"Cary Cochran, G",NEB,28,14.0,2.5,2.8,71,77,0.922
2,3,"Salim Stoudamire, G",ARIZ,31,13.1,3.0,3.3,93,101,0.921
3,4,"Juan Dixon, G",MD,30,19.3,3.7,4.1,112,124,0.903
4,5,"Jake Sullivan, G",ISU,28,16.0,4.2,4.6,117,130,0.9
5,6,"Gary Buchanan, G",NOVA,29,17.8,3.4,3.8,98,109,0.899
6,7,"Jobey Thomas, G",CHAR,29,19.0,3.4,3.8,98,109,0.899
7,8,"Cain Doliboa, F",WRST,28,16.8,2.9,3.2,80,89,0.899
8,9,"Darren Cooper, G",EWU,30,6.5,2.4,2.6,71,79,0.899
9,10,"Chris Spatola, G",ARMY,28,16.5,4.0,4.5,113,126,0.897
10,11,"Chris Thomas, G",ND,31,16.3,3.9,4.3,120,134,0.896
11,12,"Eric Channing, G",NMSU,31,16.2,3.0,3.4,93,104,0.894
12,13,"Travis Cantrell, G",CIT,29,16.6,3.2,3.6,92,103,0.893
13,14,"Henry Domercant, G",EIU,31,26.4,6.1,6.8,189,212,0.892
14,15,"Donta Richardson, G",WYO,29,12.4,3.8,4.3,111,125,0.888
15,16,"Greg Lakey, F",LMU,29,11.1,2.7,3.1,79,89,0.888
16,17,"Curtis Allen, G",WASH,29,12.0,3.5,3.9,101,114,0.886
17,18,"Troy Bell, G",BC,31,21.4,6.7,7.6,208,235,0.885
18,19,"James Gillingham, G",BRAD,29,11.2,4.2,4.8,123,139,0.885
19,20,"Clay Click, G",TXST,26,14.7,2.7,3.0,69,78,0.885
20,21,"Luke Recker, G",IOWA,34,17.3,3.1,3.5,106,120,0.883
21,22,"Kyle Korver, F",CREI,27,15.1,3.3,3.8,90,102,0.882
22,23,"Jonathan Hargett, G",WVU,26,13.8,3.4,3.9,89,101,0.881
23,24,"Glenn Stokes, G",AMER,30,9.4,2.7,3.1,81,92,0.88
24,25,"Roger Mason Jr., G",UVA,28,18.9,4.7,5.4,132,150,0.88
25,26,"Marquis Sykes, G",MORE,29,9.4,2.5,2.9,73,83,0.88
26,27,"Eurskine Robinson, G",LMU,29,6.0,2.4,2.8,71,81,0.877
27,28,"Dan Dickau, G",GONZ,31,20.8,5.1,5.8,157,180,0.872
28,29,"Lynn Greer, G",TEM,29,22.6,5.5,6.3,160,184,0.87
29,30,"Luis Flores, G",MAN,28,18.9,5.7,6.6,160,184,0.87
30,31,"Brian Cook, F",ILL,32,13.4,2.9,3.3,93,107,0.869
31,32,"D.J. Munir, G",STON,28,17.2,3.8,4.4,106,122,0.869
32,33,"Steve Logan, G",CIN,33,22.0,5.6,6.5,185,213,0.869
33,34,"Jibrahn Ike, G",UALR,29,10.6,2.7,3.1,79,91,0.868
34,35,"Brian Burke, G",LAF,29,15.3,4.5,5.2,131,151,0.868
35,36,"Jason Kapono, F",UCLA,30,16.7,3.3,3.8,98,113,0.867
36,37,"Luke McDonald, G",DRKE,29,17.9,3.6,4.1,103,119,0.866
37,38,"Lamoni Yazzie, G",AFA,28,12.4,3.2,3.7,89,103,0.864
38,39,"Alan (Junior) Blount, G",TCU,31,19.5,3.7,4.3,114,132,0.864
39,40,"Luke Jackson, F",ORE,31,16.2,4.5,5.2,139,161,0.863
40,41,"Steven Barber, G",UTA,27,18.6,4.4,5.1,119,138,0.862
41,42,"Frederick Jones, G",ORE,31,18.5,5.0,5.8,156,181,0.862
42,43,"Marques Green, G",SBON,29,15.3,3.7,4.2,106,123,0.862
43,44,"Robbie Sieverding, G",UNI,29,17.1,5.8,6.7,167,194,0.861
44,45,"Jason Harrison, G",MISS,30,10.0,3.1,3.6,92,107,0.86
45,46,"Luke Ridnour, G",ORE,31,15.1,3.4,3.9,104,121,0.86
46,47,"Branduinn Fullove, G",UCSB,29,14.2,3.3,3.8,95,111,0.856
47,48,"Tony Brown, G",USU,30,15.3,2.8,3.2,83,97,0.856
