,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP40,RK,YEAR
0,"Rokas Gustys, C",HOF,3,32.7,12,4.0,32,10.7,44,14.7,18.0,1,2017
1,"Aubrey Williams, F",KENN,4,32.5,18,4.5,40,10.0,58,14.5,17.8,2,2017
2,"Wyatt Walker, C",SAM,2,32.5,8,4.0,21,10.5,29,14.5,17.8,3,2017
3,"Devontae Cacok, F",UNCW,2,28.5,9,4.5,20,10.0,29,14.5,20.4,4,2017
4,"Angel Delgado, F",HALL,3,27.0,14,4.7,27,9.0,41,13.7,20.2,5,2017
5,"Steve Taylor Jr., F",TOL,3,33.7,6,2.0,34,11.3,40,13.3,15.8,6,2017
6,"Caleb Swanigan, F",PUR,3,32.3,13,4.3,26,8.7,39,13.0,16.1,7,2017
7,"Dedric Lawson, G",MEM,3,32.7,16,5.3,23,7.7,39,13.0,15.9,8,2017
8,"Josh Nebo, F",SFU,2,27.5,7,3.5,18,9.0,25,12.5,18.2,9,2017
9,"Reid Travis, F",STAN,3,29.3,10,3.3,27,9.0,37,12.3,16.8,10,2017
10,"Tacko Fall, C",UCF,3,24.3,12,4.0,25,8.3,37,12.3,20.3,11,2017
11,"Jimmy Hall, F",KENT,3,29.3,16,5.3,20,6.7,36,12.0,16.4,12,2017
12,"Kyle Kuzma, F",UTAH,3,24.0,9,3.0,27,9.0,36,12.0,20.0,13,2017
13,"Charles Wilson-Fisher, F",HAMP,2,32.5,9,4.5,15,7.5,24,12.0,14.8,14,2017
14,"Emmanuel Omogbo, F",CSU,2,34.0,7,3.5,17,8.5,24,12.0,14.1,15,2017
15,"Devin Davis, F",HOU,1,25.0,4,4.0,8,8.0,12,12.0,19.2,16,2017
16,"James Thompson IV, F",EMU,5,28.2,23,4.6,36,7.2,59,11.8,16.7,17,2017
17,"Josh Hawkinson, F",WSU,4,35.0,3,0.8,44,11.0,47,11.8,13.4,18,2017
18,"Nick Banyard, F",UCF,3,35.7,9,3.0,26,8.7,35,11.7,13.1,19,2017
19,"Wesley Gordon, F",COLO,3,25.3,10,3.3,25,8.3,35,11.7,18.4,20,2017
