,RK,PLAYER,TEAM,GP,PPG,FGM,FGA,total_FGM,total_FGA,FG%,2PM,2PA,2P%,PPS,adj_FG%
0,1,"Adam Mark, F",BEL,26,14.2,5.8,8.1,150,210,0.714,134,179,0.749,1.75,0.752
1,2,"Steveroy Daley, F",SFU,27,9.7,4.2,6.3,114,170,0.671,114,170,0.671,1.54,0.671
2,3,"Mike Hahn, F",PAC,30,9.4,3.6,5.3,107,160,0.669,106,158,0.671,1.76,0.672
3,4,"Carlos Boozer, C",DUKE,32,18.3,6.6,9.8,210,315,0.667,210,314,0.669,1.86,0.667
4,5,"Greg Babcock, C",GB,30,11.7,4.1,6.2,124,187,0.663,124,187,0.663,1.87,0.663
5,6,"Robert Archibald, F",ILL,31,10.7,3.4,5.2,106,162,0.654,106,161,0.658,2.06,0.654
6,7,"David Harrison, C",COLO,27,13.9,5.1,8.1,139,218,0.638,139,218,0.638,1.72,0.638
7,8,"Dan Champagne, F",OAK,30,12.2,5.0,7.9,149,236,0.631,149,234,0.637,1.55,0.631
8,9,"Charlie Davis, F",TLSA,32,8.4,3.2,5.0,101,161,0.627,101,161,0.627,1.66,0.627
9,10,"Damian Reid, F",JOES,29,9.2,3.3,5.2,95,152,0.625,90,143,0.629,1.76,0.641
10,11,"Marquis Estill, F",UK,29,9.0,3.5,5.7,102,164,0.622,98,154,0.636,1.6,0.634
11,12,"Chris Kaman, C",CMU,24,11.8,4.0,6.6,97,158,0.614,97,158,0.614,1.79,0.614
12,13,"T.J. McHugh, F",YALE,30,10.6,3.9,6.3,116,189,0.614,116,188,0.617,1.68,0.614
13,14,"Ivan McFarlin, F",OKST,31,10.8,4.6,7.5,142,232,0.612,142,232,0.612,1.45,0.612
14,15,"David Gruber, C",UNI,29,12.8,5.0,8.1,144,236,0.61,144,236,0.61,1.57,0.61
15,16,"Isaac Jefferson, G",HAMP,31,9.7,3.7,6.2,116,191,0.607,110,168,0.655,1.57,0.623
16,17,"James Singleton, F",MURR,30,12.2,4.7,7.7,140,231,0.606,137,223,0.614,1.59,0.613
17,18,"Rolan Roberts, C",SIU,33,13.8,5.8,9.5,190,315,0.603,190,315,0.603,1.44,0.603
18,19,"Fred Gentry, F",MCNS,29,10.8,4.1,6.9,120,199,0.603,120,199,0.603,1.57,0.603
19,20,"John Allison, C",PUR,31,9.8,3.5,5.8,109,181,0.602,109,180,0.606,1.67,0.602
20,21,"Nick Collison, F",KU,32,15.6,6.5,10.9,209,348,0.601,207,342,0.605,1.43,0.603
21,22,"Jermaine Hall, F",WAG,28,21.1,8.3,13.9,233,388,0.601,229,379,0.604,1.52,0.606
22,23,"Chris Young, F",MICH,29,11.4,4.2,7.1,123,205,0.6,123,204,0.603,1.61,0.6
23,24,"Jared Jensen, F-C",BYU,28,9.1,3.1,5.1,86,144,0.597,86,144,0.597,1.76,0.597
24,25,"Christopher Sockwell, F",SFNY,29,13.0,5.3,9.0,155,260,0.596,154,259,0.595,1.45,0.598
25,26,"Brian McHugh, F",NAU,28,8.3,3.0,5.0,84,141,0.596,84,138,0.609,1.65,0.596
26,27,"Damien Kinloch, F",TNTC,30,16.3,5.6,9.4,167,281,0.594,167,280,0.596,1.74,0.594
27,28,"Justin Rowe, C",MAINE,30,12.6,5.3,8.9,158,266,0.594,158,266,0.594,1.42,0.594
28,29,"James Moore, F",NMSU,32,14.8,5.8,9.7,184,310,0.594,184,306,0.601,1.53,0.594
29,30,"Aaron Jessup, G",GB,30,10.5,4.4,7.4,131,221,0.593,130,220,0.591,1.42,0.595
30,31,"Lewis Arline, F",LAM,29,9.3,3.7,6.2,106,179,0.592,106,179,0.592,1.5,0.592
31,32,"Mike Preston, C",PAC,30,9.5,3.3,5.6,100,169,0.592,98,163,0.601,1.69,0.598
32,33,"Sean Finn, C",DAY,30,7.3,3.0,5.1,91,154,0.591,91,154,0.591,1.42,0.591
33,34,"Kelly Wise, F",MEM,28,12.0,4.9,8.3,136,231,0.589,136,231,0.589,1.45,0.589
34,35,"Louis Truscott, F",HOU,31,13.4,5.1,8.6,157,267,0.588,154,260,0.592,1.56,0.594
35,36,"Solomon Hughes, F",CAL,26,7.7,3.4,5.8,88,150,0.587,88,150,0.587,1.34,0.587
36,37,"Lonnie Jones, C",BALL,30,7.9,3.5,6.0,105,179,0.587,105,179,0.587,1.32,0.587
37,38,"Len Matela, C",BGSU,32,15.4,5.6,9.6,180,307,0.586,180,307,0.586,1.61,0.586
38,39,"Justino Victoriano, F",UTEP,32,8.7,3.7,6.3,119,203,0.586,118,202,0.584,1.36,0.589
39,40,"Vili Morton, F",UCRV,26,10.9,4.5,7.6,116,198,0.586,116,198,0.586,1.43,0.586
40,41,"Henry Williams, F",USA,28,11.8,5.0,8.6,141,241,0.585,141,241,0.585,1.37,0.585
41,42,"Travis Reed, C",LBSU,30,14.7,5.9,10.1,177,303,0.584,177,302,0.586,1.45,0.584
42,43,"Channing Frye, C",ARIZ,31,9.1,3.5,5.9,107,184,0.582,107,184,0.582,1.53,0.582
43,44,"Craig Taylor, F",LIU,26,8.5,3.7,6.4,97,167,0.581,97,167,0.581,1.32,0.581
44,45,"Patrick Doctor, F",AMER,30,15.0,5.5,9.5,166,286,0.58,164,281,0.584,1.57,0.584
45,46,"Anthony Kann, F-C",WMU,29,8.3,3.4,5.8,98,169,0.58,93,158,0.589,1.43,0.595
46,47,"Billy Feeney, F",PRST,28,8.5,3.4,5.9,95,164,0.579,91,156,0.583,1.45,0.591
47,48,"Adam Parada, C",UCI,31,12.4,4.7,8.2,147,254,0.579,147,252,0.583,1.51,0.579
48,49,"Jeremy Vague, F",USU,30,8.3,3.4,5.9,103,178,0.579,103,178,0.579,1.4,0.579
49,50,"Elton Tyler, F",MIA,31,11.8,4.6,8.0,144,249,0.578,136,230,0.591,1.47,0.594
50,51,"Pat Mitchell, F",JMU,27,7.4,3.2,5.5,86,149,0.577,86,149,0.577,1.34,0.577
51,52,"Kelvin Wylie, F",WCU,28,10.0,4.2,7.3,117,203,0.576,117,203,0.576,1.38,0.576
52,53,"Omar Barlett, F",JVST,29,14.2,5.3,9.3,155,269,0.576,153,266,0.575,1.54,0.58
53,54,"Ontario Lett, F",PITT,32,8.5,3.3,5.8,106,184,0.576,106,184,0.576,1.48,0.576
54,55,"Chris Hester, G",EWU,30,13.5,5.4,9.4,163,283,0.576,163,282,0.578,1.43,0.576
55,56,"Joey Walker, F",UTM,29,8.4,3.3,5.7,95,165,0.576,94,158,0.595,1.48,0.579
56,57,"Curtis Borchardt, C",STAN,27,17.0,5.9,10.3,160,278,0.576,149,253,0.589,1.65,0.595
57,58,"Mike Harris, F",RICE,29,12.8,5.3,9.3,155,270,0.574,149,253,0.589,1.38,0.585
58,59,"Ike Lopez, F",MORE,28,9.0,3.3,5.8,93,162,0.574,91,158,0.576,1.56,0.58
59,60,"Emeka Okafor, F-C",CONN,30,7.7,3.0,5.2,90,157,0.573,90,157,0.573,1.48,0.573
60,61,"Zach Williams, F",OSU,30,9.9,3.9,6.9,118,206,0.573,118,206,0.573,1.44,0.573
61,62,"Raitis Grafs, C",VALP,31,12.4,4.6,8.0,142,248,0.573,141,242,0.583,1.54,0.575
62,63,"Justin Wilson, G",UMBC,29,9.0,3.0,5.2,87,152,0.572,63,108,0.583,1.72,0.651
63,64,"Kevin Johnson, F",TLSA,32,14.4,5.6,9.7,178,311,0.572,167,283,0.59,1.49,0.59
64,65,"Alaivaa Nuualiitia, F",BRWN,27,11.2,4.3,7.4,115,201,0.572,108,186,0.581,1.5,0.59
65,66,"Chaz Briggs, F",WVU,28,7.0,3.2,5.6,89,156,0.571,89,155,0.574,1.25,0.571
66,67,"Reggie Borges, F",ORU,30,14.4,5.0,8.8,150,263,0.57,144,245,0.588,1.64,0.582
67,68,"Juan Mendez, F",NIAG,32,9.9,3.6,6.3,114,200,0.57,114,199,0.573,1.58,0.57
68,69,"Mike Farrell, F",LAF,29,10.0,3.4,5.9,98,172,0.57,92,149,0.617,1.69,0.587
69,70,"Jerald Fields, F",ETSU,28,13.5,4.7,8.2,131,230,0.57,116,195,0.595,1.65,0.602
70,71,"Antoine Lewis, F",IUPU,30,11.5,4.4,7.7,132,232,0.569,132,231,0.571,1.48,0.569
71,72,"Ray Lark, F",PV,28,9.1,3.7,6.5,104,183,0.568,104,183,0.568,1.4,0.568
72,73,"Mike Sweetney, F",GTWN,29,19.0,6.4,11.2,185,326,0.567,185,325,0.569,1.69,0.567
73,74,"Jason Jennings, C",ARST,30,14.6,5.7,10.0,170,300,0.567,170,300,0.567,1.46,0.567
74,75,"Marcus Smallwood, F",NIU,28,12.2,5.0,8.9,141,249,0.566,141,247,0.571,1.37,0.566
75,76,"Phillip Ramelli, C",SAM,28,9.8,3.6,6.4,101,179,0.564,82,138,0.594,1.53,0.617
