,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
0,2.0,31.5,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,4.0,5.5,12.1,71.0,AJ Brodeur,PENN,False
1,4.0,23.8,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,1.5,7.3,14.7,98.0,Abdul Lewis,NJIT,False
2,3.0,28.7,0.0,0.0,121.0,0.0,9.0,121.0,3.26,56.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Abdul-Malik Abu,NCST,False
3,3.0,35.3,1.66666666667,0.0,121.0,3.02,9.0,35.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ahmad Thomas,UNCA,False
4,4.0,35.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,25.8,0.42,0.207,0.935,12.0,20.3,7.3,7.8,0.0,0.0,0.0,121.0,Alec Peters,VALP,False
5,3.0,31.0,3.33333333333,10.3,9.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Alec Wintering,PORT,False
6,2.0,26.5,0.0,8.3,68.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Alex Copeland,YALE,False
7,3.0,29.3,2.0,7.3,76.0,3.18,5.0,73.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Alex Robinson,TCU,False
8,3.0,29.0,1.33333333333,0.0,121.0,3.22,2.0,87.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Alterique Gilbert,CONN,False
9,3.0,31.0,1.66666666667,7.7,42.0,3.44,3.0,29.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Amadi Udenyi,PEPP,False
10,3.0,29.3,1.33333333333,0.0,121.0,3.18,10.0,68.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Amar Stukes,LAS,False
11,3.0,27.0,0.0,0.0,121.0,0.0,11.0,121.0,6.42,6.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Amida Brimah,CONN,False
