,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
0,32.0,36.5,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,18.8,0.454,0.377,0.817,42.0,15.0,6.5,3.4,0.0,0.0,0.0,121.0,A.D. Vassallo,VT,False
1,32.0,32.4,2.65625,0.0,121.0,2.12,62.0,98.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,A.J. Davis,JMU,False
2,33.0,37.3,3.63636363636,5.4,42.0,0.0,0.0,121.0,0.0,121.0,19.9,0.436,0.394,0.781,15.0,14.2,8.0,5.5,0.0,0.0,0.0,121.0,A.J. English,IONA,False
3,32.0,35.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,17.0,0.376,0.354,0.958,99.0,13.1,7.9,4.5,0.0,0.0,0.0,121.0,A.J. Graves,BUT,False
4,32.0,24.2333333333,0.0,0.0,121.0,0.0,79.6666666667,121.0,4.37,27.3333333333,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,A.J. Hammons,PUR,False
5,31.0,28.3,1.8064516129,7.2,51.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,A.J. Harris,COFC,False
6,28.0,34.65,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,16.9,0.466,0.35,0.85,107.0,13.3,4.2,3.6,2.4,6.15,9.85,59.0,A.J. Jackson,RMU,False
7,29.0,35.6,4.13793103448,5.0,104.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,A.J. Meredith,UNO,False
8,31.0,26.95,0.0,0.0,121.0,0.0,78.0,121.0,2.4,80.0,17.0,0.593,0.0,0.778,113.0,9.9,0.1,6.7,0.0,0.0,0.0,121.0,A.J. Ogilvy,VAN,False
9,31.0,32.25,2.53541666667,6.65,43.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,A.J. Price,CONN,False
10,30.0,29.0,2.13459399333,6.85,54.0,3.32,72.0,10.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,A.J. Rompza,UCF,False
11,34.0,36.5,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,17.5,0.416,0.359,0.827,88.0,13.0,6.5,5.3,0.0,0.0,0.0,121.0,A.J. Slaughter,WKU,False
12,30.0,33.0,3.36666666667,5.7,64.0,2.75,93.0,23.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,A.J. Walton,BAY,False
13,27.0,34.15,2.51862068966,6.4,40.5,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,A.W. Hamilton,MRSH,False
14,30.0,29.1,0.0,0.0,121.0,0.0,84.0,121.0,3.62,21.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,5.9,5.1,15.2,9.0,AJ West,NEV,False
15,24.0,30.9,3.5,6.3,57.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Aamir McCleary,SIUE,False
16,31.6666666667,29.2,0.0,0.0,121.0,0.0,91.6666666667,121.0,3.29,31.3333333333,21.2,0.485,0.322,0.735,13.0,14.2,2.6,8.9,0.0,0.0,0.0,121.0,Aaric Murray,LAS,False
17,30.5,32.9,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.3,5.7,10.95,45.5,Aaron Anderson,KENN,False
