,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
78,31.6666666667,25.1666666667,0.0,0.0,121.0,0.0,78.0,121.0,2.85333333333,68.6666666667,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.5,6.6,13.5,30.0,Al Horford,FLA,True
159,33.0,28.5,0.0,0.0,121.0,0.0,70.0,121.0,3.74,15.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Andre Drummond,CONN,True
164,29.0,31.9,2.75862068966,6.3,57.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.4,6.2,10.8,49.0,Andre Iguodala,ARIZ,True
212,34.0,31.6,0.0,0.0,121.0,0.0,66.0,121.0,5.85,1.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.0,7.0,12.7,22.0,Anthony Davis,UK,True
334,28.5,31.55,3.35185185185,6.5,57.0,0.0,0.0,121.0,0.0,121.0,17.2,0.405,0.317,0.726,113.0,14.1,5.6,5.6,0.0,0.0,0.0,121.0,Bernard King,TAMU,True
346,31.0,30.65,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,21.9,0.635,0.375,0.591,14.0,12.9,0.3,9.2,3.5,8.35,15.25,17.5,Blake Griffin,OKLA,True
406,30.0,31.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,19.9,0.511,0.395,0.814,27.0,13.4,2.9,6.3,0.0,0.0,0.0,121.0,Brandon Roy,WASH,True
472,24.5,28.15,0.0,0.0,121.0,0.0,64.0,121.0,2.825,50.5,19.2,0.467,0.0,0.771,49.0,14.5,0.3,7.3,3.0,5.6,10.9,50.0,Brook Lopez,STAN,True
547,32.0,28.4,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,18.3,0.667,0.0,0.766,76.0,9.8,0.0,6.8,3.3,5.5,12.3,56.0,Carlos Boozer,DUKE,True
556,29.0,36.4,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,22.7,0.448,0.317,0.716,11.0,17.7,5.0,7.3,2.9,7.1,11.0,17.0,Carmelo Anthony,SYR,True
557,30.0,35.8,2.96666666667,0.0,121.0,2.5,65.0,36.0,0.0,121.0,19.5,0.476,0.373,0.761,47.0,15.5,2.0,5.3,0.0,0.0,0.0,121.0,Caron Butler,CONN,True
634,28.0,30.6,0.0,0.0,121.0,0.0,64.0,121.0,2.7,36.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.1,5.8,11.7,42.0,Chris Bosh,GT,True
668,26.5,29.7,0.0,0.0,121.0,0.0,81.0,121.0,3.225,38.5,22.7,0.632,0.0,0.751,10.0,12.4,0.0,9.3,3.2,7.1,13.8,42.5,Chris Kaman,CMU,True
682,29.0,33.1,2.72380952381,7.45,21.0,3.125,75.0,19.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Chris Paul,WAKE,True
833,30.0,34.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,22.1,0.451,0.4065,0.868,16.5,14.55,7.0,7.05,0.0,0.0,0.0,121.0,Damian Lillard,WEB,True
878,23.5,28.425,2.41379310345,0.0,121.0,2.88,81.3333333333,56.0,2.77333333333,55.6666666667,19.2333333333,0.514666666667,0.359,0.734,42.0,12.5666666667,2.7,7.2,2.4,6.13333333333,11.5666666667,59.3333333333,Danny Granger,UNM,True
952,30.5,26.85,0.0,0.0,121.0,0.0,72.0,121.0,2.33,100.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.2,6.8,13.0,32.0,David Lee,FLA,True
962,30.0,35.45,0.0,0.0,121.0,0.0,84.0,121.0,2.31,56.5,19.4,0.53,0.333,0.797,54.5,12.2,0.85,7.8,3.05,7.85,12.3,15.0,David West,XAV,True
983,34.0,23.2,0.0,0.0,121.0,0.0,109.0,121.0,3.14,75.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,4.1,5.9,17.4,20.0,DeMarcus Cousins,UK,True
1037,30.0,31.3666666667,2.4303030303,7.26666666667,43.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Deron Williams,ILL,True
1046,34.0,28.1,2.82352941176,6.4,90.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Derrick Rose,MEM,True
1066,29.5,35.15,1.75977011494,4.8,109.0,2.23,62.0,99.0,0.0,121.0,19.7,0.459,0.369,0.791,27.0,13.1,6.2,6.9,0.0,0.0,0.0,121.0,Devin Harris,WIS,True
1140,33.5,31.45,2.27272727273,0.0,121.0,2.27,110.0,98.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.3,7.15,12.0,35.5,Draymond Green,MSU,True
1176,29.5,30.55,3.15725806452,0.0,121.0,3.07,70.0,25.5,0.0,121.0,19.65,0.4935,0.3215,0.7335,56.5,14.65,1.5,6.35,0.0,0.0,0.0,121.0,Dwyane Wade,MARQ,True
1470,33.0,31.8,3.0,7.6,15.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Isaiah Thomas,WASH,True
1571,28.3333333333,34.5,3.0119047619,6.4,44.0,3.09,56.5,16.5,0.0,121.0,19.65,0.458,0.3625,0.778,40.5,14.7,6.0,5.25,0.0,0.0,0.0,121.0,Jameer Nelson,JOES,True
1591,32.0,34.8,2.58064516129,0.0,121.0,2.6,64.0,35.0,0.0,121.0,19.2,0.5155,0.3945,0.759,52.0,11.95,3.9,7.1,0.0,0.0,0.0,121.0,James Harden,ASU,True
1721,30.0,30.75,2.88333333333,0.0,121.0,2.45,67.5,80.5,0.0,121.0,19.1,0.484,0.446,0.823,39.0,12.1,3.4,7.2,0.0,0.0,0.0,121.0,Jeff Teague,WAKE,True
1818,33.5,24.6,0.0,0.0,121.0,0.0,75.0,121.0,3.075,58.5,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.6,5.6,12.8,61.0,Joakim Noah,FLA,True
1876,33.0,35.0,4.0303030303,7.3,4.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,John Wall,UK,True
1964,29.0,30.35,2.51724137931,0.0,121.0,2.52,83.0,67.0,1.79,116.0,20.0,0.482,0.393,0.823,45.0,14.0,4.7,5.7,3.45,4.65,10.7,87.5,Josh Howard,WAKE,True
2083,33.0,31.7,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.4,6.9,12.95,17.0,Kawhi Leonard,SDSU,True
