,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP40,RK,Year
0,"Rokas Gustys, C",HOF,2,35.5,11,5.5,25,12.5,36,18.0,20.3,1,2001
1,"Steve Taylor Jr., F",TOL,2,35.0,4,2.0,26,13.0,30,15.0,17.1,2,2001
2,"Wyatt Walker, C",SAM,2,32.5,8,4.0,21,10.5,29,14.5,17.8,3,2001
3,"Devontae Cacok, F",UNCW,2,28.5,9,4.5,20,10.0,29,14.5,20.4,4,2001
4,"Aubrey Williams, F",KENN,3,32.0,17,5.7,26,8.7,43,14.3,17.9,5,2001
5,"Tacko Fall, C",UCF,2,26.0,10,5.0,18,9.0,28,14.0,21.5,6,2001
6,"Caleb Swanigan, F",PUR,2,29.5,10,5.0,18,9.0,28,14.0,19.0,7,2001
7,"Angel Delgado, F",HALL,3,27.0,14,4.7,27,9.0,41,13.7,20.2,8,2001
8,"Jimmy Hall, F",KENT,2,33.5,11,5.5,16,8.0,27,13.5,16.1,9,2001
9,"Kyle Kuzma, F",UTAH,2,26.0,6,3.0,21,10.5,27,13.5,20.8,10,2001
10,"Nick Banyard, F",UCF,2,34.5,6,3.0,19,9.5,25,12.5,14.5,11,2001
11,"Josh Hawkinson, F",WSU,2,38.5,3,1.5,22,11.0,25,12.5,13.0,12,2001
12,"Novak Topalovic, C",IDST,2,31.0,7,3.5,18,9.0,25,12.5,16.1,13,2001
13,"Dedric Lawson, G",MEM,2,33.0,12,6.0,13,6.5,25,12.5,15.2,14,2001
14,"Josh Nebo, F",SFU,2,27.5,7,3.5,18,9.0,25,12.5,18.2,15,2001
15,"Reid Travis, F",STAN,3,29.3,10,3.3,27,9.0,37,12.3,16.8,16,2001
16,"Obinna Oleka, F",ASU,3,34.0,10,3.3,27,9.0,37,12.3,14.5,17,2001
17,"James Thompson IV, F",EMU,3,29.3,14,4.7,22,7.3,36,12.0,16.4,18,2001
18,"Charles Wilson-Fisher, F",HAMP,2,32.5,9,4.5,15,7.5,24,12.0,14.8,19,2001
19,"Emmanuel Omogbo, F",CSU,2,34.0,7,3.5,17,8.5,24,12.0,14.1,20,2001
20,"Devin Davis, F",HOU,1,25.0,4,4.0,8,8.0,12,12.0,19.2,21,2001
21,"Dan Garvin, F",BRY,1,25.0,3,3.0,9,9.0,12,12.0,19.2,22,2001
22,"Wesley Gordon, F",COLO,3,25.3,10,3.3,25,8.3,35,11.7,18.4,23,2001
23,"Tres Tinkle, F",ORST,3,35.0,4,1.3,31,10.3,35,11.7,13.3,24,2001
24,"Jerome Frink, F",LIU,2,26.5,8,4.0,15,7.5,23,11.5,17.4,25,2001
25,"Eric Mika, F",BYU,2,24.5,11,5.5,12,6.0,23,11.5,18.8,26,2001
26,"Rashawn Thomas, F",AMCC,2,29.0,9,4.5,14,7.0,23,11.5,15.9,27,2001
27,"Ben Lammers, C",GT,2,33.0,7,3.5,16,8.0,23,11.5,13.9,28,2001
28,"Chandler Hutchison, G",BSU,2,31.0,1,0.5,22,11.0,23,11.5,14.8,29,2001
29,"Jo Lual-Acuil Jr., F",BAY,2,30.5,7,3.5,16,8.0,23,11.5,15.1,30,2001
30,"Kennedy Meeks, F",UNC,3,22.0,16,5.3,18,6.0,34,11.3,20.6,31,2001
31,"D.J. Wilson, F",MICH,3,28.0,9,3.0,25,8.3,34,11.3,16.2,32,2001
32,"Josh Martin, F",CP,3,31.3,7,2.3,27,9.0,34,11.3,14.5,33,2001
33,"Jaylen Johnson, F",LOU,3,22.3,16,5.3,18,6.0,34,11.3,20.3,34,2001
34,"Muusa Dama, F",EIU,3,20.0,8,2.7,26,8.7,34,11.3,22.7,35,2001
35,"Wayne Martin, F",TNST,3,30.3,9,3.0,24,8.0,33,11.0,14.5,36,2001
36,"Torry Butler, F",SHSU,3,19.0,7,2.3,26,8.7,33,11.0,23.2,37,2001
37,"Tim Williams, F",UNM,2,32.0,7,3.5,15,7.5,22,11.0,13.8,38,2001
38,"Deonte Burton, G",ISU,2,23.0,3,1.5,19,9.5,22,11.0,19.1,39,2001
39,"Sebastian Saiz, F",MISS,2,27.0,9,4.5,13,6.5,22,11.0,16.3,40,2001
40,"Kahlil Thomas, F",RID,2,32.0,3,1.5,19,9.5,22,11.0,13.8,41,2001
41,"Deontae Hawkins, F",ILST,2,33.0,5,2.5,17,8.5,22,11.0,13.3,42,2001
42,"Ruben Guerrero, C",USF,2,28.0,7,3.5,15,7.5,22,11.0,15.7,43,2001
43,"AJ Brodeur, F",PENN,1,29.0,3,3.0,8,8.0,11,11.0,15.2,44,2001
44,"Zane Najdawi, F",CIT,3,22.3,16,5.3,16,5.3,32,10.7,19.1,45,2001
45,"Brett Bisping, F",SIE,2,34.5,5,2.5,16,8.0,21,10.5,12.2,46,2001
46,"Reggie Upshaw, F",MTSU,2,28.5,6,3.0,15,7.5,21,10.5,14.7,47,2001
47,"Joseph Lopez, F",SHU,2,28.0,8,4.0,13,6.5,21,10.5,15.0,48,2001
48,"Idris Taqqee, G",SBON,2,36.5,12,6.0,9,4.5,21,10.5,11.5,49,2001
49,"Reggie Agbeko, F",SLU,3,28.3,11,3.7,20,6.7,31,10.3,14.6,50,2001
50,"Bryce Washington, F",ULL,3,28.0,13,4.3,18,6.0,31,10.3,14.8,51,2001
51,"Drew Eubanks, F",ORST,3,29.0,8,2.7,23,7.7,31,10.3,14.3,52,2001
52,"TJ Leaf, F",UCLA,3,28.3,10,3.3,21,7.0,31,10.3,14.6,53,2001
53,"Thik Bol, F",SIU,3,24.7,6,2.0,25,8.3,31,10.3,16.8,54,2001
54,"Sheldon Jeter, F",PITT,3,31.7,9,3.0,21,7.0,30,10.0,12.6,55,2001
55,"Tanner Leissner, F",UNH,3,31.7,10,3.3,20,6.7,30,10.0,12.6,56,2001
56,"Keenan Simmons, F",SIUE,3,24.7,11,3.7,19,6.3,30,10.0,16.2,57,2001
57,"Thomas Welsh, C",UCLA,3,27.3,4,1.3,26,8.7,30,10.0,14.6,58,2001
58,"Miles Bowman Jr., F",HP,2,23.0,5,2.5,15,7.5,20,10.0,17.4,59,2001
59,"Dion Wade, G",M-OH,2,22.5,4,2.0,16,8.0,20,10.0,17.8,60,2001
60,"Franko House, F",BALL,2,32.0,6,3.0,14,7.0,20,10.0,12.5,61,2001
61,"Colton Weisbrod, F",LAM,2,29.5,6,3.0,14,7.0,20,10.0,13.6,62,2001
62,"Jimond Ivey, G",AKR,2,21.0,5,2.5,15,7.5,20,10.0,19.0,63,2001
63,"Shawn Johnson, G",IW,2,34.0,2,1.0,18,9.0,20,10.0,11.8,64,2001
64,"Brandon Clarke, F",SJSU,2,33.5,7,3.5,13,6.5,20,10.0,11.9,65,2001
65,"Yoeli Childs, F",BYU,2,21.5,3,1.5,17,8.5,20,10.0,18.6,66,2001
66,"Braden Koelliker, F",CSU,2,32.0,9,4.5,11,5.5,20,10.0,12.5,67,2001
67,"Brayon Blake, F",IDHO,2,26.0,9,4.5,11,5.5,20,10.0,15.4,68,2001
68,"Matt Howard, G",PENN,1,33.0,2,2.0,8,8.0,10,10.0,12.1,69,2001
69,"Tyrell Sturdivant, F",STON,1,28.0,6,6.0,4,4.0,10,10.0,14.3,70,2001
70,"Jaleen Smith, G",UNH,3,38.3,3,1.0,26,8.7,29,9.7,10.1,71,2001
71,"Travis Munnings, F",ULM,3,27.3,5,1.7,24,8.0,29,9.7,14.1,72,2001
72,"Deshawn Freeman, F",RUTG,3,25.3,12,4.0,17,5.7,29,9.7,15.3,73,2001
73,"Alex Murphy, F",NE,2,33.5,4,2.0,15,7.5,19,9.5,11.3,74,2001
74,"Arnaud William Adala Moto, F",TOWS,2,29.5,6,3.0,13,6.5,19,9.5,12.9,75,2001
75,"Mo Jeffers, F",BC,2,22.0,5,2.5,14,7.0,19,9.5,17.3,76,2001
76,"D.J. Johnson, F",KSU,2,24.5,6,3.0,13,6.5,19,9.5,15.5,77,2001
77,"Michael Kessens, F",FIU,2,30.0,5,2.5,14,7.0,19,9.5,12.7,78,2001
78,"Junior Etou, F",TLSA,2,23.5,4,2.0,15,7.5,19,9.5,16.2,79,2001
79,"Isaac Neilson, F",UVU,2,25.5,3,1.5,16,8.0,19,9.5,14.9,80,2001
80,"Fabijan Krslovic, F",MONT,2,32.5,8,4.0,11,5.5,19,9.5,11.7,81,2001
81,"Leon Gilmore III, F",SFA,2,28.0,8,4.0,11,5.5,19,9.5,13.6,82,2001
