,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,RK,YEAR
0,"Mark Alstork, G",WRST,3,35.3,32.7,10.3-20.3,.508,3.0-8.3,.360,9.0-11.0,.818,1,2017
1,"Markelle Fultz, G",WASH,2,34.5,32.5,10.5-15.5,.677,2.5-5.0,.500,9.0-13.0,.692,2,2017
2,"Ronnie Boyce, G",SF,2,30.0,29.5,11.0-20.0,.550,3.5-8.5,.412,4.0-5.0,.800,3,2017
3,"Marcus Keene, G",CMU,3,29.3,28.3,9.7-18.0,.537,2.3-6.0,.389,6.7-8.0,.833,4,2017
4,"Cameron Morse, G",YSU,4,35.3,28.0,9.8-23.3,.419,2.3-8.0,.281,6.3-8.8,.714,5,2017
5,"Lamond Murray Jr., G",PEPP,3,33.7,28.0,11.3-20.7,.548,2.0-2.7,.750,3.3-4.7,.714,6,2017
6,"Sam Cassell Jr., G",IONA,1,36.0,28.0,8.0-21.0,.381,5.0-14.0,.357,7.0-8.0,.875,7,2017
7,"Tim Kempton, C",LEH,2,37.5,27.5,10.0-18.0,.556,0.0-1.5,.000,7.5-10.0,.750,8,2017
8,"Randy Onwuasor, G",SUU,3,35.7,27.0,7.3-19.0,.386,1.7-5.3,.313,10.7-13.7,.780,9,2017
9,"ShawnDre' Jones, G",RICH,2,35.5,27.0,9.0-15.5,.581,3.0-4.0,.750,6.0-8.5,.706,10,2017
10,"Jalen Ross, G",HART,4,38.8,25.8,7.8-16.0,.484,2.8-5.8,.478,7.5-9.0,.833,11,2017
11,"Alec Peters, F",VALP,4,35.3,25.8,8.5-20.3,.420,1.5-7.3,.207,7.3-7.8,.935,12,2017
12,"Marquis Wright, G",SIE,3,35.7,25.7,8.7-18.7,.464,3.3-6.0,.556,5.0-7.0,.714,13,2017
13,"Deandre Burnett, G",MISS,3,32.3,25.3,6.7-15.0,.444,4.0-6.3,.632,8.0-8.0,1.000,14,2017
14,"Tyler Hall, G",MTST,4,33.5,25.0,8.0-15.8,.508,3.8-8.5,.441,5.3-5.5,.955,15,2017
15,"Quincy McKnight, G",SHU,3,29.3,25.0,9.3-17.0,.549,0.7-2.7,.250,5.7-5.7,1.000,16,2017
16,"Peyton Aldridge, F",DAV,3,37.0,24.7,8.7-15.7,.553,3.0-6.3,.474,4.3-6.0,.722,17,2017
17,"Jon Davis, G",CHAR,3,31.0,24.7,9.0-15.3,.587,3.0-4.0,.750,3.7-3.7,1.000,18,2017
