,PLAYER,TEAM,GP,MPG,STL,STPG,STP40M,TO,TOPG,PF,ST/TO,ST/PF,RK,Year
0,"Luwane Pipkins, G",UMASS,3,30.3,14,4.67,6.15,6,2.00,7,2.33,2.00,1,2001
1,"Laquincy Rideau, G",WEBB,2,33.5,9,4.50,5.37,10,5.00,6,0.90,1.50,2,2001
2,"Ethan Telfair, G",IDST,2,39.0,9,4.50,4.62,10,5.00,8,0.90,1.13,3,2001
3,"Martez Harrison, G",UMKC,2,32.0,8,4.00,5.00,7,3.50,6,1.14,1.33,4,2001
4,"Ehab Amin, G",AMCC,2,24.5,8,4.00,6.53,11,5.50,5,0.73,1.60,5,2001
5,"K'Ja Johnson, G",FAMU,2,19.0,8,4.00,8.42,5,2.50,4,1.60,2.00,6,2001
6,"Cheddi Mosely, G",BU,1,34.0,4,4.00,4.71,1,1.00,3,4.00,1.33,7,2001
7,"Tahjere McCall, G",TNST,3,30.3,11,3.67,4.84,14,4.67,11,0.79,1.00,8,2001
8,"Jay Wright, G",ULL,3,29.0,11,3.67,5.06,7,2.33,4,1.57,2.75,9,2001
9,"Diante Baldwin, G",UNCG,2,32.5,7,3.50,4.31,5,2.50,5,1.40,1.40,10,2001
10,"Bo Zeigler, F",USF,2,31.0,7,3.50,4.52,8,4.00,8,0.88,0.88,11,2001
11,"Deshon Taylor, G",FRES,2,24.5,7,3.50,5.71,2,1.00,4,3.50,1.75,12,2001
12,"Jacobi Boykins, G",LT,2,23.0,7,3.50,6.09,3,1.50,6,2.33,1.17,13,2001
13,"Joey Frenchwood, G",LAM,2,26.5,7,3.50,5.28,3,1.50,5,2.33,1.40,14,2001
14,"Josh Robinson, G",PEAY,2,35.0,7,3.50,4.00,5,2.50,1,1.40,7.00,15,2001
15,"Dikembe Dixson, F",UIC,2,29.5,7,3.50,4.75,7,3.50,4,1.00,1.75,16,2001
16,"Jeremiah Martin, G",MEM,2,34.0,7,3.50,4.12,3,1.50,3,2.33,2.33,17,2001
17,"Shizz Alston Jr., G",TEM,3,38.0,10,3.33,3.51,2,0.67,4,5.00,2.50,18,2001
18,"Preston Parks, G",CIT,3,23.0,10,3.33,5.80,13,4.33,9,0.77,1.11,19,2001
19,"Jajuan Johnson, G",MARQ,3,26.7,9,3.00,4.50,3,1.00,7,3.00,1.29,20,2001
20,"Zach Lofton, G",TXSO,3,31.3,9,3.00,3.83,4,1.33,10,2.25,0.90,21,2001
21,"Jawun Evans, G",OKST,3,25.3,9,3.00,4.74,6,2.00,6,1.50,1.50,22,2001
22,"Malik Maitland, G",MORE,3,24.7,9,3.00,4.86,5,1.67,8,1.80,1.13,23,2001
23,"Maurice Watson Jr., G",CREI,2,35.0,6,3.00,3.43,12,6.00,3,0.50,2.00,24,2001
24,"John Dawson, G",LIB,2,24.0,6,3.00,5.00,4,2.00,7,1.50,0.86,25,2001
25,"Jaron Hopkins, G",FRES,2,29.5,6,3.00,4.07,4,2.00,6,1.50,1.00,26,2001
26,"Scoochie Smith, G",DAY,2,29.5,6,3.00,4.07,6,3.00,6,1.00,1.00,27,2001
27,"Jeremy Morgan, G",UNI,2,28.0,6,3.00,4.29,2,1.00,2,3.00,3.00,28,2001
28,"Doug Brooks, G",VCU,2,26.5,6,3.00,4.53,2,1.00,6,3.00,1.00,29,2001
29,"Jalen Hayes, F",OAK,2,32.5,6,3.00,3.69,2,1.00,4,3.00,1.50,30,2001
30,"Troy Caupain, G",CIN,2,31.0,6,3.00,3.87,4,2.00,3,1.50,2.00,31,2001
31,"Quinton Hooker, G",UND,2,34.0,6,3.00,3.53,2,1.00,2,3.00,3.00,32,2001
32,"Jordan Howard, G",UCA,2,31.0,6,3.00,3.87,5,2.50,4,1.20,1.50,33,2001
33,"Jaylen Adams, G",SBON,2,35.0,6,3.00,3.43,9,4.50,7,0.67,0.86,34,2001
34,"Cameron Morse, G",YSU,2,34.5,6,3.00,3.48,5,2.50,6,1.20,1.00,35,2001
35,"Jaylen Fisher, G",TCU,2,27.0,6,3.00,4.44,4,2.00,2,1.50,3.00,36,2001
36,"Torey Noel, G",LAM,2,20.5,6,3.00,5.85,1,0.50,5,6.00,1.20,37,2001
37,"Jon Severe, G",IONA,1,28.0,3,3.00,4.29,3,3.00,3,1.00,1.00,38,2001
38,"Roland Nyama, G",STON,1,25.0,3,3.00,4.80,2,2.00,2,1.50,1.50,39,2001
39,"Henry Caruso, F",PRIN,1,26.0,3,3.00,4.62,1,1.00,4,3.00,0.75,40,2001
40,"Trevis Wyche, G",SPU,1,33.0,3,3.00,3.64,0,0.00,4,0.00,0.75,41,2001
41,"Jackson Donahue, G",PENN,1,31.0,3,3.00,3.87,1,1.00,1,3.00,3.00,42,2001
42,"Khallid Hart, G",MRST,3,35.3,8,2.67,3.02,5,1.67,7,1.60,1.14,43,2001
43,"Amadi Udenyi, G",PEPP,3,31.0,8,2.67,3.44,5,1.67,3,1.60,2.67,44,2001
