,RK,PLAYER,TEAM,GP,PPG,3PM,3PA,total_3PM,total_3PA,3P%,2PM,2PA,2P%,PPS,FG%
0,1,"Grant Leep, F",WASH,29,7.8,1.3,3,39,74,0.527,41,83.0,0.494,1.43,0.634
1,2,"David Sanders, G",MISS,30,12.7,1.2,2,35,67,0.522,86,150.0,0.573,1.76,0.638
2,3,"Anthony Lever, G",ORE,31,6.5,1.6,3,49,94,0.521,16,48.0,0.333,1.42,0.63
3,4,"Bill Phillips, F",JOES,29,11.8,1.8,3,51,98,0.52,69,124.0,0.556,1.54,0.655
4,5,"Tim Lightfoot, G",UNM,28,5.9,1.4,3,38,74,0.514,17,48.0,0.354,1.35,0.607
5,6,"Devin Montgomery, G",PEPP,28,11.4,1.5,3,41,81,0.506,52,119.0,0.437,1.6,0.568
6,7,"Dante Swanson, G",TLSA,31,11.9,2.3,5,71,141,0.504,51,99.0,0.515,1.54,0.656
7,8,"Marco Quinto, F",EWU,30,6.3,1.5,3,44,88,0.5,16,44.0,0.364,1.44,0.621
8,9,"Joe Campbell, F",MAINE,28,6.5,1.4,3,38,77,0.494,23,46.0,0.5,1.47,0.65
9,10,"Flinder Boyd, G",DART,27,14.4,1.9,4,50,103,0.485,91,180.0,0.506,1.37,0.587
10,11,"Chris Brown, F",UNH,28,13.4,1.1,2,30,62,0.484,74,158.0,0.468,1.7,0.541
11,12,"Matt Jarboe, F",LIP,27,6.7,1.0,2,27,56,0.482,34,67.0,0.507,1.46,0.606
12,13,"Billy Collins, G",BU,30,11.9,1.7,4,52,108,0.481,71,168.0,0.423,1.3,0.54
13,14,"Cain Doliboa, F",WRST,28,16.8,3.7,8,104,217,0.479,39,86.0,0.453,1.55,0.644
14,15,"Cameron Crisp, G",TNTC,30,11.8,2.1,4,63,133,0.474,58,143.0,0.406,1.29,0.553
15,16,"Jake Sullivan, G",ISU,28,16.0,2.1,5,60,127,0.472,75,175.0,0.429,1.48,0.546
16,17,"Travarus Bennett, F",MINN,29,8.7,1.1,2,33,70,0.471,46,87.0,0.529,1.61,0.608
17,18,"Ryan Hogan, G",IOWA,33,5.4,1.0,2,32,68,0.471,24,57.0,0.421,1.42,0.576
18,19,"Jason Erickson, G",MTST,28,10.5,1.6,4,46,98,0.469,50,102.0,0.49,1.47,0.595
19,20,"Darnell Archey, G",BUT,30,6.6,1.5,3,46,98,0.469,21,48.0,0.438,1.36,0.616
20,21,"Kirk Hinrich, G",KU,32,15.5,1.9,4,60,128,0.469,119,202.0,0.589,1.5,0.633
21,22,"Randy Dukes, G",MORG,28,11.6,1.6,3,45,96,0.469,73,189.0,0.386,1.14,0.493
22,23,"Dan Dickau, G",GONZ,31,20.8,3.6,8,113,242,0.467,75,176.0,0.426,1.55,0.585
23,24,"Jordan Kardos, G",UIC,33,12.5,2.1,4,68,146,0.466,64,143.0,0.448,1.43,0.574
24,25,"Jeff Boschee, G",KU,32,13.4,2.9,6,93,200,0.465,53,108.0,0.491,1.39,0.625
25,26,"Jason Kapono, F",UCLA,30,16.7,2.8,6,84,181,0.464,75,162.0,0.463,1.46,0.586
26,27,"Ray Abellard, G",UCF,29,13.0,2.8,6,80,173,0.462,43,101.0,0.426,1.37,0.595
27,28,"R.T. Guinn, C",BAY,29,7.3,1.0,2,30,65,0.462,49,98.0,0.5,1.3,0.577
28,29,"Brian Wilson, G",HC,32,9.7,1.3,3,41,89,0.461,67,162.0,0.414,1.24,0.512
29,30,"John Hamilton, G",WEB,29,12.6,2.6,6,76,165,0.461,44,104.0,0.423,1.35,0.587
30,31,"Eric Channing, G",NMSU,31,16.2,2.6,6,81,176,0.46,83,182.0,0.456,1.4,0.571
31,32,"Salim Stoudamire, G",ARIZ,31,13.1,2.2,5,68,148,0.459,55,122.0,0.451,1.51,0.581
32,33,"Derek Robinson, G",WKU,30,10.6,1.8,4,54,118,0.458,57,122.0,0.467,1.33,0.575
33,34,"Chez Marks, G",MORE,27,8.7,1.4,3,37,81,0.457,49,76.0,0.645,1.5,0.666
34,35,"Mike Ames, G",DEL,30,12.1,2.4,5,73,160,0.456,54,123.0,0.439,1.29,0.578
35,36,"Jason Thornton, F",UCF,29,5.9,1.6,3,46,101,0.455,11,26.0,0.423,1.35,0.63
36,37,"Dane Fife, G",IND,31,8.9,1.8,4,55,121,0.455,42,91.0,0.462,1.31,0.587
37,38,"Nick Moore, G",TOL,29,14.3,3.0,7,87,192,0.453,55,130.0,0.423,1.29,0.576
38,39,"Peter Anderer, G",DAV,30,10.8,2.7,6,81,179,0.453,20,46.0,0.435,1.44,0.629
39,40,"Josh Cooperwood, G",TNST,27,11.9,2.1,5,56,124,0.452,54,113.0,0.478,1.36,0.582
40,41,"Anthony Thomas, G",FUR,31,14.5,2.8,6,88,195,0.451,66,132.0,0.5,1.38,0.606
41,42,"James Joseph, F",UTSA,29,6.7,1.6,4,46,102,0.451,17,38.0,0.447,1.38,0.614
42,43,"Alex Gamboa, G",YALE,30,10.9,1.5,3,45,100,0.45,67,149.0,0.45,1.32,0.54
43,44,"Nick Jacobson, G",UTAH,29,13.2,2.4,5,71,158,0.449,59,138.0,0.428,1.29,0.559
44,45,"Paris Corner, G",WYO,29,8.0,1.1,2,31,69,0.449,50,102.0,0.49,1.35,0.564
45,46,"Tony Brown, G",USU,30,15.3,2.5,6,75,167,0.449,75,133.0,0.564,1.53,0.625
46,47,"Brady Richeson, G",TXST,28,7.0,2.0,5,57,127,0.449,0,11.0,0.0,1.41,0.62
47,48,"Matt Barnes, F",UCLA,28,13.4,1.4,3,39,87,0.448,94,192.0,0.49,1.34,0.547
48,49,"Ruben Douglas, G",UNM,29,18.1,2.2,5,63,141,0.447,101,241.0,0.419,1.37,0.512
49,50,"Ricky Richburg, G",RMU,29,10.0,1.9,4,54,121,0.446,56,129.0,0.434,1.16,0.548
50,51,"Jonathan Schneiderman, G",UIC,33,8.7,1.8,4,58,130,0.446,30,60.0,0.5,1.51,0.616
51,52,"James Colwell, G",WEBB,27,12.4,2.1,5,58,130,0.446,54,124.0,0.435,1.32,0.555
52,53,"Leon Rodgers, F",NIU,28,21.3,1.2,3,33,74,0.446,162,310.0,0.523,1.55,0.551
53,54,"David Falknor, F",AKR,29,11.4,2.6,6,76,171,0.444,28,70.0,0.4,1.38,0.589
54,55,"Steve Esterkamp, G",OHIO,28,13.4,2.0,5,56,126,0.444,62,128.0,0.484,1.48,0.575
55,56,"Travis Diener, G",MARQ,32,8.0,1.7,4,55,124,0.444,20,50.0,0.4,1.47,0.589
56,57,"Robert Yanders, G",MOST,30,11.3,1.7,4,51,115,0.443,60,135.0,0.444,1.36,0.546
57,58,"Stanislav Zuzak, F",UCI,31,8.3,1.3,3,39,88,0.443,50,97.0,0.515,1.39,0.586
58,59,"Jobey Thomas, G",CHAR,29,19.0,3.8,8,109,246,0.443,63,144.0,0.438,1.41,0.581
59,60,"Chris Hill, G",MSU,30,11.0,2.0,5,61,138,0.442,54,98.0,0.551,1.4,0.617
60,61,"Cornell Felton, G",SAM,29,8.6,1.7,4,49,111,0.441,35,61.0,0.574,1.45,0.631
61,62,"Kyle Hornsby, G",IND,31,7.4,1.9,4,59,134,0.44,20,55.0,0.364,1.22,0.574
62,63,"Brendan Plavich, G",VAN,30,10.1,2.7,6,80,182,0.44,16,36.0,0.444,1.39,0.624
